,mean reward,Fail Probability,method
0,97200,10,Supervisory+RL
1,166570,10,Supervisory+RL
2,177550,10,Supervisory+RL
3,163820,10,Supervisory+RL
4,117840,10,Supervisory+RL
5,66300,10,Supervisory+RL
6,148350,10,Supervisory+RL
7,68360,10,Supervisory+RL
8,142880,10,Supervisory+RL
9,56000,10,Supervisory+RL
10,26130,10,Supervisory+RL
11,195790,10,Supervisory+RL
12,117840,10,Supervisory+RL
13,138400,10,Supervisory+RL
14,162090,10,Supervisory+RL
15,104150,10,Supervisory+RL
16,154880,10,Supervisory+RL
17,101320,10,Supervisory+RL
18,187840,10,Supervisory+RL
19,103380,10,Supervisory+RL
20,138400,10,Supervisory+RL
21,122660,10,Supervisory+RL
22,81760,10,Supervisory+RL
23,161060,10,Supervisory+RL
24,66300,10,Supervisory+RL
25,33340,10,Supervisory+RL
26,152890,10,Supervisory+RL
27,197110,10,Supervisory+RL
28,83810,10,Supervisory+RL
29,122690,10,Supervisory+RL
30,134350,10,Supervisory+RL
31,124670,10,Supervisory+RL
32,139430,10,Supervisory+RL
33,134280,10,Supervisory+RL
34,177540,10,Supervisory+RL
35,157610,10,Supervisory+RL
36,117800,10,Supervisory+RL
37,134280,10,Supervisory+RL
38,56670,10,Supervisory+RL
39,131190,10,Supervisory+RL
40,157010,10,Supervisory+RL
41,134280,10,Supervisory+RL
42,138400,10,Supervisory+RL
43,104410,10,Supervisory+RL
44,136340,10,Supervisory+RL
45,159670,10,Supervisory+RL
46,83810,10,Supervisory+RL
47,188580,10,Supervisory+RL
48,163120,10,Supervisory+RL
49,166210,10,Supervisory+RL
50,114720,20,Supervisory+RL
51,164820,20,Supervisory+RL
52,161730,20,Supervisory+RL
53,160390,20,Supervisory+RL
54,99600,20,Supervisory+RL
55,123990,20,Supervisory+RL
56,127070,20,Supervisory+RL
57,195720,20,Supervisory+RL
58,115740,20,Supervisory+RL
59,184430,20,Supervisory+RL
60,184750,20,Supervisory+RL
61,136340,20,Supervisory+RL
62,114710,20,Supervisory+RL
63,160700,20,Supervisory+RL
64,174450,20,Supervisory+RL
65,76600,20,Supervisory+RL
66,37200,20,Supervisory+RL
67,194760,20,Supervisory+RL
68,156580,20,Supervisory+RL
69,109560,20,Supervisory+RL
70,15470,20,Supervisory+RL
71,89670,20,Supervisory+RL
72,175120,20,Supervisory+RL
73,128840,20,Supervisory+RL
74,149730,20,Supervisory+RL
75,162760,20,Supervisory+RL
76,122590,20,Supervisory+RL
77,115380,20,Supervisory+RL
78,145610,20,Supervisory+RL
79,127780,20,Supervisory+RL
80,180280,20,Supervisory+RL
81,14540,20,Supervisory+RL
82,150760,20,Supervisory+RL
83,119860,20,Supervisory+RL
84,87610,20,Supervisory+RL
85,154540,20,Supervisory+RL
86,133250,20,Supervisory+RL
87,105440,20,Supervisory+RL
88,87570,20,Supervisory+RL
89,201940,20,Supervisory+RL
90,185450,20,Supervisory+RL
91,126710,20,Supervisory+RL
92,168940,20,Supervisory+RL
93,175480,20,Supervisory+RL
94,153530,20,Supervisory+RL
95,42250,20,Supervisory+RL
96,72480,20,Supervisory+RL
97,149370,20,Supervisory+RL
98,183070,20,Supervisory+RL
99,109560,20,Supervisory+RL
100,83450,30,Supervisory+RL
101,144890,30,Supervisory+RL
102,120530,30,Supervisory+RL
103,89730,30,Supervisory+RL
104,137370,30,Supervisory+RL
105,169970,30,Supervisory+RL
106,147670,30,Supervisory+RL
107,178210,30,Supervisory+RL
108,25800,30,Supervisory+RL
109,172100,30,Supervisory+RL
110,96170,30,Supervisory+RL
111,40730,30,Supervisory+RL
112,179240,30,Supervisory+RL
113,180630,30,Supervisory+RL
114,79330,30,Supervisory+RL
115,186450,30,Supervisory+RL
116,123980,30,Supervisory+RL
117,178240,30,Supervisory+RL
118,48460,30,Supervisory+RL
119,126710,30,Supervisory+RL
120,119570,30,Supervisory+RL
121,126040,30,Supervisory+RL
122,178880,30,Supervisory+RL
123,162090,30,Supervisory+RL
124,110590,30,Supervisory+RL
125,12390,30,Supervisory+RL
126,-17130,30,Supervisory+RL
127,193660,30,Supervisory+RL
128,164860,30,Supervisory+RL
129,137370,30,Supervisory+RL
130,73150,30,Supervisory+RL
131,141490,30,Supervisory+RL
132,130520,30,Supervisory+RL
133,183720,30,Supervisory+RL
134,140460,30,Supervisory+RL
135,157970,30,Supervisory+RL
136,11350,30,Supervisory+RL
137,215290,30,Supervisory+RL
138,161730,30,Supervisory+RL
139,114450,30,Supervisory+RL
140,112290,30,Supervisory+RL
141,35400,30,Supervisory+RL
142,141150,30,Supervisory+RL
143,98230,30,Supervisory+RL
144,-52150,30,Supervisory+RL
145,160700,30,Supervisory+RL
146,170330,30,Supervisory+RL
147,95140,30,Supervisory+RL
148,202930,30,Supervisory+RL
149,150400,30,Supervisory+RL
150,132890,40,Supervisory+RL
151,137010,40,Supervisory+RL
152,132220,40,Supervisory+RL
153,149730,40,Supervisory+RL
154,169650,40,Supervisory+RL
155,152460,40,Supervisory+RL
156,195050,40,Supervisory+RL
157,86900,40,Supervisory+RL
158,171010,40,Supervisory+RL
159,144250,40,Supervisory+RL
160,203290,40,Supervisory+RL
161,186450,40,Supervisory+RL
162,130160,40,Supervisory+RL
163,125680,40,Supervisory+RL
164,145250,40,Supervisory+RL
165,97200,40,Supervisory+RL
166,103380,40,Supervisory+RL
167,160740,40,Supervisory+RL
168,97200,40,Supervisory+RL
169,120890,40,Supervisory+RL
170,107140,40,Supervisory+RL
171,89670,40,Supervisory+RL
172,162760,40,Supervisory+RL
173,74540,40,Supervisory+RL
174,102350,40,Supervisory+RL
175,197780,40,Supervisory+RL
176,127780,40,Supervisory+RL
177,145610,40,Supervisory+RL
178,135980,40,Supervisory+RL
179,178210,40,Supervisory+RL
180,77630,40,Supervisory+RL
181,133250,40,Supervisory+RL
182,175190,40,Supervisory+RL
183,155910,40,Supervisory+RL
184,147310,40,Supervisory+RL
185,94780,40,Supervisory+RL
186,203960,40,Supervisory+RL
187,172030,40,Supervisory+RL
188,122950,40,Supervisory+RL
189,70420,40,Supervisory+RL
190,177180,40,Supervisory+RL
191,68000,40,Supervisory+RL
192,167910,40,Supervisory+RL
193,194690,40,Supervisory+RL
194,99930,40,Supervisory+RL
195,190610,40,Supervisory+RL
196,107150,40,Supervisory+RL
197,132960,40,Supervisory+RL
198,165850,40,Supervisory+RL
199,143550,40,Supervisory+RL
200,125680,50,Supervisory+RL
201,148340,50,Supervisory+RL
202,125690,50,Supervisory+RL
203,175480,50,Supervisory+RL
204,190580,50,Supervisory+RL
205,188510,50,Supervisory+RL
206,147670,50,Supervisory+RL
207,168940,50,Supervisory+RL
208,61860,50,Supervisory+RL
209,138400,50,Supervisory+RL
210,132890,50,Supervisory+RL
211,130830,50,Supervisory+RL
212,106470,50,Supervisory+RL
213,135310,50,Supervisory+RL
214,121560,50,Supervisory+RL
215,121560,50,Supervisory+RL
216,107500,50,Supervisory+RL
217,125680,50,Supervisory+RL
218,136000,50,Supervisory+RL
219,152460,50,Supervisory+RL
220,131190,50,Supervisory+RL
221,98230,50,Supervisory+RL
222,112290,50,Supervisory+RL
223,59090,50,Supervisory+RL
224,110230,50,Supervisory+RL
225,133250,50,Supervisory+RL
226,124650,50,Supervisory+RL
227,122950,50,Supervisory+RL
228,181660,50,Supervisory+RL
229,195050,50,Supervisory+RL
230,188510,50,Supervisory+RL
231,115380,50,Supervisory+RL
232,155590,50,Supervisory+RL
233,80430,50,Supervisory+RL
234,169970,50,Supervisory+RL
235,148340,50,Supervisory+RL
236,110590,50,Supervisory+RL
237,172030,50,Supervisory+RL
238,138400,50,Supervisory+RL
239,172390,50,Supervisory+RL
240,140460,50,Supervisory+RL
241,184390,50,Supervisory+RL
242,198140,50,Supervisory+RL
243,73510,50,Supervisory+RL
244,122590,50,Supervisory+RL
245,131190,50,Supervisory+RL
246,122590,50,Supervisory+RL
247,63880,50,Supervisory+RL
248,185420,50,Supervisory+RL
249,129130,50,Supervisory+RL
250,130830,60,Supervisory+RL
251,138400,60,Supervisory+RL
252,131860,60,Supervisory+RL
253,126780,60,Supervisory+RL
254,181300,60,Supervisory+RL
255,135980,60,Supervisory+RL
256,163790,60,Supervisory+RL
257,191600,60,Supervisory+RL
258,138400,60,Supervisory+RL
259,185420,60,Supervisory+RL
260,155550,60,Supervisory+RL
261,155560,60,Supervisory+RL
262,125010,60,Supervisory+RL
263,170340,60,Supervisory+RL
264,141130,60,Supervisory+RL
265,160700,60,Supervisory+RL
266,59090,60,Supervisory+RL
267,92050,60,Supervisory+RL
268,146280,60,Supervisory+RL
269,142520,60,Supervisory+RL
270,124650,60,Supervisory+RL
271,68000,60,Supervisory+RL
272,154520,60,Supervisory+RL
273,20620,60,Supervisory+RL
274,175120,60,Supervisory+RL
275,173060,60,Supervisory+RL
276,65940,60,Supervisory+RL
277,178210,60,Supervisory+RL
278,159680,60,Supervisory+RL
279,202940,60,Supervisory+RL
280,167920,60,Supervisory+RL
281,99930,60,Supervisory+RL
282,59090,60,Supervisory+RL
283,153510,60,Supervisory+RL
284,89630,60,Supervisory+RL
285,164820,60,Supervisory+RL
286,144220,60,Supervisory+RL
287,60130,60,Supervisory+RL
288,75570,60,Supervisory+RL
289,200870,60,Supervisory+RL
290,193730,60,Supervisory+RL
291,191600,60,Supervisory+RL
292,141490,60,Supervisory+RL
293,216320,60,Supervisory+RL
294,164820,60,Supervisory+RL
295,86900,60,Supervisory+RL
296,144580,60,Supervisory+RL
297,129130,60,Supervisory+RL
298,163790,60,Supervisory+RL
299,107140,60,Supervisory+RL
300,63920,70,Supervisory+RL
301,71270,70,Supervisory+RL
302,166880,70,Supervisory+RL
303,148350,70,Supervisory+RL
304,146280,70,Supervisory+RL
305,138040,70,Supervisory+RL
306,99430,70,Supervisory+RL
307,88100,70,Supervisory+RL
308,103260,70,Supervisory+RL
309,185420,70,Supervisory+RL
310,107170,70,Supervisory+RL
311,126370,70,Supervisory+RL
312,82590,70,Supervisory+RL
313,145920,70,Supervisory+RL
314,168270,70,Supervisory+RL
315,180270,70,Supervisory+RL
316,183360,70,Supervisory+RL
317,93420,70,Supervisory+RL
318,174090,70,Supervisory+RL
319,97210,70,Supervisory+RL
320,110230,70,Supervisory+RL
321,153490,70,Supervisory+RL
322,164460,70,Supervisory+RL
323,172030,70,Supervisory+RL
324,178210,70,Supervisory+RL
325,159670,70,Supervisory+RL
326,169980,70,Supervisory+RL
327,138040,70,Supervisory+RL
328,157290,70,Supervisory+RL
329,123980,70,Supervisory+RL
330,139070,70,Supervisory+RL
331,145250,70,Supervisory+RL
332,184420,70,Supervisory+RL
333,76240,70,Supervisory+RL
334,149730,70,Supervisory+RL
335,168940,70,Supervisory+RL
336,95810,70,Supervisory+RL
337,162760,70,Supervisory+RL
338,105440,70,Supervisory+RL
