,Number of occurrences,Fail Probability,event
0,2,10,bad_A
1,2,20,bad_A
2,4,30,bad_A
3,0,40,bad_A
4,0,50,bad_A
5,0,60,bad_A
6,0,70,bad_A
7,0,80,bad_A
8,0,90,bad_A
9,0,10,bad_B
10,0,20,bad_B
11,0,30,bad_B
12,0,40,bad_B
13,0,50,bad_B
14,0,60,bad_B
15,8,70,bad_B
16,0,80,bad_B
17,0,90,bad_B
18,155,10,good_A
19,177,20,good_A
20,175,30,good_A
21,182,40,good_A
22,179,50,good_A
23,186,60,good_A
24,195,70,good_A
25,196,80,good_A
26,210,90,good_A
27,343,10,good_B
28,321,20,good_B
29,321,30,good_B
30,318,40,good_B
31,321,50,good_B
32,314,60,good_B
33,297,70,good_B
34,304,80,good_B
35,290,90,good_B
36,11,10,redo_A
37,30,20,redo_A
38,69,30,redo_A
39,126,40,redo_A
40,213,50,redo_A
41,316,60,redo_A
42,605,70,redo_A
43,1178,80,redo_A
44,3136,90,redo_A
45,4849,10,redo_B
46,4816,20,redo_B
47,5133,30,redo_B
48,4540,40,redo_B
49,4571,50,redo_B
50,4402,60,redo_B
51,4045,70,redo_B
52,5068,80,redo_B
53,4639,90,redo_B
