,Number of occurrences,Fail Probability,event
0,3,10,bad_A
1,11,20,bad_A
2,13,30,bad_A
3,32,40,bad_A
4,42,50,bad_A
5,63,60,bad_A
6,85,70,bad_A
7,97,80,bad_A
8,112,90,bad_A
9,326,10,bad_B
10,318,20,bad_B
11,310,30,bad_B
12,320,40,bad_B
13,313,50,bad_B
14,328,60,bad_B
15,316,70,bad_B
16,322,80,bad_B
17,322,90,bad_B
18,132,10,good_A
19,120,20,good_A
20,127,30,good_A
21,96,40,good_A
22,97,50,good_A
23,70,60,good_A
24,55,70,good_A
25,40,80,good_A
26,22,90,good_A
27,39,10,good_B
28,51,20,good_B
29,50,30,good_B
30,52,40,good_B
31,48,50,good_B
32,39,60,good_B
33,44,70,good_B
34,41,80,good_B
35,44,90,good_B
36,10,10,redo_A
37,13,20,redo_A
38,31,30,redo_A
39,31,40,redo_A
40,46,50,redo_A
41,52,60,redo_A
42,88,70,redo_A
43,100,80,redo_A
44,127,90,redo_A
45,343,10,redo_B
46,361,20,redo_B
47,322,30,redo_B
48,288,40,redo_B
49,298,50,redo_B
50,301,60,redo_B
51,338,70,redo_B
52,305,80,redo_B
53,280,90,redo_B
