,Number of Occurrences,Rejection Type 1 Probability,Event,Method
0,27,10.0,redo_A,Supervisory+RL
1,6,10.0,redo_A,Supervisory
2,47,20.0,redo_A,Supervisory+RL
3,4,20.0,redo_A,Supervisory
4,92,30.0,redo_A,Supervisory+RL
5,21,30.0,redo_A,Supervisory
6,82,40.0,redo_A,Supervisory+RL
7,14,40.0,redo_A,Supervisory
8,152,50.0,redo_A,Supervisory+RL
9,25,50.0,redo_A,Supervisory
10,177,60.0,redo_A,Supervisory+RL
11,24,60.0,redo_A,Supervisory
12,262,70.0,redo_A,Supervisory+RL
13,30,70.0,redo_A,Supervisory
14,240,80.0,redo_A,Supervisory+RL
15,44,80.0,redo_A,Supervisory
16,236,90.0,redo_A,Supervisory+RL
17,39,90.0,redo_A,Supervisory
18,245,10.0,redo_B,Supervisory+RL
19,87,10.0,redo_B,Supervisory
20,239,20.0,redo_B,Supervisory+RL
21,100,20.0,redo_B,Supervisory
22,234,30.0,redo_B,Supervisory+RL
23,94,30.0,redo_B,Supervisory
24,205,40.0,redo_B,Supervisory+RL
25,95,40.0,redo_B,Supervisory
26,253,50.0,redo_B,Supervisory+RL
27,83,50.0,redo_B,Supervisory
28,311,60.0,redo_B,Supervisory+RL
29,100,60.0,redo_B,Supervisory
30,259,70.0,redo_B,Supervisory+RL
31,96,70.0,redo_B,Supervisory
32,259,80.0,redo_B,Supervisory+RL
33,104,80.0,redo_B,Supervisory
34,337,90.0,redo_B,Supervisory+RL
35,85,90.0,redo_B,Supervisory
