,mean reward,Rejection Type 1 Probability,method
0,119250,10.0,Supervisory+RL
1,199220,10.0,Supervisory+RL
2,199170,10.0,Supervisory+RL
3,199170,10.0,Supervisory+RL
4,199180,10.0,Supervisory+RL
5,158190,10.0,Supervisory+RL
6,119180,10.0,Supervisory+RL
7,197080,10.0,Supervisory+RL
8,119170,10.0,Supervisory+RL
9,159180,10.0,Supervisory+RL
10,199220,10.0,Supervisory+RL
11,158120,10.0,Supervisory+RL
12,159180,10.0,Supervisory+RL
13,158160,10.0,Supervisory+RL
14,198160,10.0,Supervisory+RL
15,198140,10.0,Supervisory+RL
16,119270,10.0,Supervisory+RL
17,199220,10.0,Supervisory+RL
18,208170,10.0,Supervisory+RL
19,199180,10.0,Supervisory+RL
20,198200,10.0,Supervisory+RL
21,159220,10.0,Supervisory+RL
22,158190,10.0,Supervisory+RL
23,159180,10.0,Supervisory+RL
24,199230,10.0,Supervisory+RL
25,159180,10.0,Supervisory+RL
26,119180,10.0,Supervisory+RL
27,79220,10.0,Supervisory+RL
28,198110,10.0,Supervisory+RL
29,198190,10.0,Supervisory+RL
30,199220,10.0,Supervisory+RL
31,198110,10.0,Supervisory+RL
32,159240,10.0,Supervisory+RL
33,199220,10.0,Supervisory+RL
34,169180,10.0,Supervisory+RL
35,129170,10.0,Supervisory+RL
36,118190,10.0,Supervisory+RL
37,159290,10.0,Supervisory+RL
38,199260,10.0,Supervisory+RL
39,159180,10.0,Supervisory+RL
40,119230,10.0,Supervisory+RL
41,199230,10.0,Supervisory+RL
42,159300,10.0,Supervisory+RL
43,128110,10.0,Supervisory+RL
44,199260,10.0,Supervisory+RL
45,159220,10.0,Supervisory+RL
46,198190,10.0,Supervisory+RL
47,199170,10.0,Supervisory+RL
48,197120,10.0,Supervisory+RL
49,199140,10.0,Supervisory+RL
50,209180,20.0,Supervisory+RL
51,169180,20.0,Supervisory+RL
52,198160,20.0,Supervisory+RL
53,158190,20.0,Supervisory+RL
54,79220,20.0,Supervisory+RL
55,209200,20.0,Supervisory+RL
56,109160,20.0,Supervisory+RL
57,169210,20.0,Supervisory+RL
58,208130,20.0,Supervisory+RL
59,118150,20.0,Supervisory+RL
60,198160,20.0,Supervisory+RL
61,157140,20.0,Supervisory+RL
62,199190,20.0,Supervisory+RL
63,208070,20.0,Supervisory+RL
64,159220,20.0,Supervisory+RL
65,199220,20.0,Supervisory+RL
66,158200,20.0,Supervisory+RL
67,198190,20.0,Supervisory+RL
68,198200,20.0,Supervisory+RL
69,217040,20.0,Supervisory+RL
70,209230,20.0,Supervisory+RL
71,208150,20.0,Supervisory+RL
72,147120,20.0,Supervisory+RL
73,179160,20.0,Supervisory+RL
74,199220,20.0,Supervisory+RL
75,207060,20.0,Supervisory+RL
76,157160,20.0,Supervisory+RL
77,158200,20.0,Supervisory+RL
78,199150,20.0,Supervisory+RL
79,168030,20.0,Supervisory+RL
80,168130,20.0,Supervisory+RL
81,209200,20.0,Supervisory+RL
82,199160,20.0,Supervisory+RL
83,198210,20.0,Supervisory+RL
84,198150,20.0,Supervisory+RL
85,198130,20.0,Supervisory+RL
86,149170,20.0,Supervisory+RL
87,158110,20.0,Supervisory+RL
88,199200,20.0,Supervisory+RL
89,156080,20.0,Supervisory+RL
90,199240,20.0,Supervisory+RL
91,197170,20.0,Supervisory+RL
92,209180,20.0,Supervisory+RL
93,197100,20.0,Supervisory+RL
94,178150,20.0,Supervisory+RL
95,209170,20.0,Supervisory+RL
96,209160,20.0,Supervisory+RL
97,198190,20.0,Supervisory+RL
98,198200,20.0,Supervisory+RL
99,199220,20.0,Supervisory+RL
100,158080,30.0,Supervisory+RL
101,215910,30.0,Supervisory+RL
102,117060,30.0,Supervisory+RL
103,207170,30.0,Supervisory+RL
104,188010,30.0,Supervisory+RL
105,166070,30.0,Supervisory+RL
106,209180,30.0,Supervisory+RL
107,225900,30.0,Supervisory+RL
108,155970,30.0,Supervisory+RL
109,209130,30.0,Supervisory+RL
110,186000,30.0,Supervisory+RL
111,168100,30.0,Supervisory+RL
112,218090,30.0,Supervisory+RL
113,217060,30.0,Supervisory+RL
114,214980,30.0,Supervisory+RL
115,219160,30.0,Supervisory+RL
116,208130,30.0,Supervisory+RL
117,217050,30.0,Supervisory+RL
118,97960,30.0,Supervisory+RL
119,219110,30.0,Supervisory+RL
120,179110,30.0,Supervisory+RL
121,228010,30.0,Supervisory+RL
122,174980,30.0,Supervisory+RL
123,109040,30.0,Supervisory+RL
124,209200,30.0,Supervisory+RL
125,209110,30.0,Supervisory+RL
126,129100,30.0,Supervisory+RL
127,217040,30.0,Supervisory+RL
128,219120,30.0,Supervisory+RL
129,174940,30.0,Supervisory+RL
130,228020,30.0,Supervisory+RL
131,209110,30.0,Supervisory+RL
132,208070,30.0,Supervisory+RL
133,228060,30.0,Supervisory+RL
134,156010,30.0,Supervisory+RL
135,219150,30.0,Supervisory+RL
136,164010,30.0,Supervisory+RL
137,186980,30.0,Supervisory+RL
138,208110,30.0,Supervisory+RL
139,217940,30.0,Supervisory+RL
140,208080,30.0,Supervisory+RL
141,208190,30.0,Supervisory+RL
142,209160,30.0,Supervisory+RL
143,229040,30.0,Supervisory+RL
144,219100,30.0,Supervisory+RL
145,219150,30.0,Supervisory+RL
146,218110,30.0,Supervisory+RL
147,177060,30.0,Supervisory+RL
148,218090,30.0,Supervisory+RL
149,228070,30.0,Supervisory+RL
150,199180,40.0,Supervisory+RL
151,208040,40.0,Supervisory+RL
152,74920,40.0,Supervisory+RL
153,168130,40.0,Supervisory+RL
154,218030,40.0,Supervisory+RL
