,Number of Occurrences,Rejection Type 1 Probability,Event,Method
0,17,10.0,redo_A,Supervisory+RL
1,2,10.0,redo_A,Supervisory
2,18,20.0,redo_A,Supervisory+RL
3,11,20.0,redo_A,Supervisory
4,22,30.0,redo_A,Supervisory+RL
5,18,30.0,redo_A,Supervisory
6,60,40.0,redo_A,Supervisory+RL
7,23,40.0,redo_A,Supervisory
8,0,50.0,redo_A,Supervisory+RL
9,26,50.0,redo_A,Supervisory
10,0,60.0,redo_A,Supervisory+RL
11,29,60.0,redo_A,Supervisory
12,42,70.0,redo_A,Supervisory+RL
13,27,70.0,redo_A,Supervisory
14,65,80.0,redo_A,Supervisory+RL
15,49,80.0,redo_A,Supervisory
16,3,90.0,redo_A,Supervisory+RL
17,39,90.0,redo_A,Supervisory
18,11,10.0,redo_B,Supervisory+RL
19,10,10.0,redo_B,Supervisory
20,24,20.0,redo_B,Supervisory+RL
21,9,20.0,redo_B,Supervisory
22,33,30.0,redo_B,Supervisory+RL
23,7,30.0,redo_B,Supervisory
24,22,40.0,redo_B,Supervisory+RL
25,7,40.0,redo_B,Supervisory
26,10,50.0,redo_B,Supervisory+RL
27,4,50.0,redo_B,Supervisory
28,37,60.0,redo_B,Supervisory+RL
29,5,60.0,redo_B,Supervisory
30,22,70.0,redo_B,Supervisory+RL
31,12,70.0,redo_B,Supervisory
32,30,80.0,redo_B,Supervisory+RL
33,11,80.0,redo_B,Supervisory
34,29,90.0,redo_B,Supervisory+RL
35,14,90.0,redo_B,Supervisory
