,mean reward,Rejection Type 1 Probability,method
0,209160,10.0,Supervisory+RL
1,229030,10.0,Supervisory+RL
2,149020,10.0,Supervisory+RL
3,149020,10.0,Supervisory+RL
4,198250,10.0,Supervisory+RL
5,209190,10.0,Supervisory+RL
6,209200,10.0,Supervisory+RL
7,228010,10.0,Supervisory+RL
8,236900,10.0,Supervisory+RL
9,228080,10.0,Supervisory+RL
10,179100,10.0,Supervisory+RL
11,218090,10.0,Supervisory+RL
12,187910,10.0,Supervisory+RL
13,229080,10.0,Supervisory+RL
14,228010,10.0,Supervisory+RL
15,225900,10.0,Supervisory+RL
16,228000,10.0,Supervisory+RL
17,179140,10.0,Supervisory+RL
18,167170,10.0,Supervisory+RL
19,229070,10.0,Supervisory+RL
20,227990,10.0,Supervisory+RL
21,229040,10.0,Supervisory+RL
22,78070,10.0,Supervisory+RL
23,128960,10.0,Supervisory+RL
24,168160,10.0,Supervisory+RL
25,219100,10.0,Supervisory+RL
26,209210,10.0,Supervisory+RL
27,199030,10.0,Supervisory+RL
28,169040,10.0,Supervisory+RL
29,229040,10.0,Supervisory+RL
30,217040,10.0,Supervisory+RL
31,179100,10.0,Supervisory+RL
32,208130,10.0,Supervisory+RL
33,179100,10.0,Supervisory+RL
34,227020,10.0,Supervisory+RL
35,178070,10.0,Supervisory+RL
36,209240,10.0,Supervisory+RL
37,217050,10.0,Supervisory+RL
38,218070,10.0,Supervisory+RL
39,209160,10.0,Supervisory+RL
40,218040,10.0,Supervisory+RL
41,209110,10.0,Supervisory+RL
42,179080,10.0,Supervisory+RL
43,219120,10.0,Supervisory+RL
44,229120,10.0,Supervisory+RL
45,179160,10.0,Supervisory+RL
46,229040,10.0,Supervisory+RL
47,238990,10.0,Supervisory+RL
48,98070,10.0,Supervisory+RL
49,169090,10.0,Supervisory+RL
50,167080,20.0,Supervisory+RL
51,148090,20.0,Supervisory+RL
52,218020,20.0,Supervisory+RL
53,228010,20.0,Supervisory+RL
54,217010,20.0,Supervisory+RL
55,229100,20.0,Supervisory+RL
56,229120,20.0,Supervisory+RL
57,169230,20.0,Supervisory+RL
58,218020,20.0,Supervisory+RL
59,179100,20.0,Supervisory+RL
60,218130,20.0,Supervisory+RL
61,168090,20.0,Supervisory+RL
62,228010,20.0,Supervisory+RL
63,209220,20.0,Supervisory+RL
64,219100,20.0,Supervisory+RL
65,208180,20.0,Supervisory+RL
66,209130,20.0,Supervisory+RL
67,218150,20.0,Supervisory+RL
68,209170,20.0,Supervisory+RL
69,158200,20.0,Supervisory+RL
70,178070,20.0,Supervisory+RL
71,128100,20.0,Supervisory+RL
72,209220,20.0,Supervisory+RL
73,149160,20.0,Supervisory+RL
74,208150,20.0,Supervisory+RL
75,188040,20.0,Supervisory+RL
76,209140,20.0,Supervisory+RL
77,208090,20.0,Supervisory+RL
78,208070,20.0,Supervisory+RL
79,156010,20.0,Supervisory+RL
80,229110,20.0,Supervisory+RL
81,117070,20.0,Supervisory+RL
82,209160,20.0,Supervisory+RL
83,217040,20.0,Supervisory+RL
84,209240,20.0,Supervisory+RL
85,217040,20.0,Supervisory+RL
86,218070,20.0,Supervisory+RL
