,mean reward,Rejection Type 1 Cost,method
0,199220,20000,Supervisory+RL
1,215960,20000,Supervisory+RL
2,218040,20000,Supervisory+RL
3,218070,20000,Supervisory+RL
4,178130,20000,Supervisory+RL
5,129080,20000,Supervisory+RL
6,169090,20000,Supervisory+RL
7,219100,20000,Supervisory+RL
8,208210,20000,Supervisory+RL
9,179130,20000,Supervisory+RL
10,209230,20000,Supervisory+RL
11,219130,20000,Supervisory+RL
12,169110,20000,Supervisory+RL
13,157120,20000,Supervisory+RL
14,209180,20000,Supervisory+RL
15,159180,20000,Supervisory+RL
16,229040,20000,Supervisory+RL
17,158190,20000,Supervisory+RL
18,167060,20000,Supervisory+RL
19,169220,20000,Supervisory+RL
20,209200,20000,Supervisory+RL
21,185950,20000,Supervisory+RL
22,129100,20000,Supervisory+RL
23,208140,20000,Supervisory+RL
24,198140,20000,Supervisory+RL
25,159220,20000,Supervisory+RL
26,129070,20000,Supervisory+RL
27,199220,20000,Supervisory+RL
28,209180,20000,Supervisory+RL
29,199140,20000,Supervisory+RL
30,217040,20000,Supervisory+RL
31,209220,20000,Supervisory+RL
32,209190,20000,Supervisory+RL
33,218090,20000,Supervisory+RL
34,219160,20000,Supervisory+RL
35,169180,20000,Supervisory+RL
36,208130,20000,Supervisory+RL
37,208090,20000,Supervisory+RL
38,216060,20000,Supervisory+RL
39,207100,20000,Supervisory+RL
40,179160,20000,Supervisory+RL
41,169160,20000,Supervisory+RL
42,208130,20000,Supervisory+RL
43,209190,20000,Supervisory+RL
44,159170,20000,Supervisory+RL
45,119180,20000,Supervisory+RL
46,208100,20000,Supervisory+RL
47,168130,20000,Supervisory+RL
48,208060,20000,Supervisory+RL
49,219100,20000,Supervisory+RL
50,218080,22500,Supervisory+RL
51,218070,22500,Supervisory+RL
52,218110,22500,Supervisory+RL
53,178090,22500,Supervisory+RL
54,225980,22500,Supervisory+RL
55,179040,22500,Supervisory+RL
56,166640,22500,Supervisory+RL
57,208130,22500,Supervisory+RL
58,208150,22500,Supervisory+RL
59,219050,22500,Supervisory+RL
60,208210,22500,Supervisory+RL
61,179100,22500,Supervisory+RL
62,218090,22500,Supervisory+RL
63,219140,22500,Supervisory+RL
64,217050,22500,Supervisory+RL
65,209070,22500,Supervisory+RL
66,209120,22500,Supervisory+RL
67,206070,22500,Supervisory+RL
68,169080,22500,Supervisory+RL
69,209160,22500,Supervisory+RL
70,207060,22500,Supervisory+RL
71,206070,22500,Supervisory+RL
72,219150,22500,Supervisory+RL
73,228010,22500,Supervisory+RL
74,209200,22500,Supervisory+RL
75,218130,22500,Supervisory+RL
76,208110,22500,Supervisory+RL
77,219140,22500,Supervisory+RL
78,217040,22500,Supervisory+RL
79,218030,22500,Supervisory+RL
80,219100,22500,Supervisory+RL
81,219180,22500,Supervisory+RL
82,209060,22500,Supervisory+RL
83,208130,22500,Supervisory+RL
84,208130,22500,Supervisory+RL
85,207100,22500,Supervisory+RL
86,219030,22500,Supervisory+RL
87,177990,22500,Supervisory+RL
88,209100,22500,Supervisory+RL
89,209240,22500,Supervisory+RL
90,209160,22500,Supervisory+RL
91,207100,22500,Supervisory+RL
92,189090,22500,Supervisory+RL
93,216010,22500,Supervisory+RL
94,227000,22500,Supervisory+RL
95,219140,22500,Supervisory+RL
96,139060,22500,Supervisory+RL
97,219100,22500,Supervisory+RL
98,219120,22500,Supervisory+RL
99,179150,22500,Supervisory+RL
100,219100,25000,Supervisory+RL
101,219090,25000,Supervisory+RL
102,179140,25000,Supervisory+RL
103,219100,25000,Supervisory+RL
104,209120,25000,Supervisory+RL
105,179090,25000,Supervisory+RL
106,178030,25000,Supervisory+RL
107,153120,25000,Supervisory+RL
108,168130,25000,Supervisory+RL
109,177120,25000,Supervisory+RL
110,186940,25000,Supervisory+RL
111,208130,25000,Supervisory+RL
112,229090,25000,Supervisory+RL
113,209180,25000,Supervisory+RL
114,219110,25000,Supervisory+RL
115,217060,25000,Supervisory+RL
116,238020,25000,Supervisory+RL
117,218040,25000,Supervisory+RL
118,219110,25000,Supervisory+RL
