,mean reward,Approval Type 1 Cost,method
0,158010,30000,Supervisory+RL
1,158130,30000,Supervisory+RL
2,156070,30000,Supervisory+RL
3,157940,30000,Supervisory+RL
4,198100,30000,Supervisory+RL
5,199080,30000,Supervisory+RL
6,199080,30000,Supervisory+RL
7,198200,30000,Supervisory+RL
8,199170,30000,Supervisory+RL
9,196960,30000,Supervisory+RL
10,199160,30000,Supervisory+RL
11,149040,30000,Supervisory+RL
12,199100,30000,Supervisory+RL
13,119150,30000,Supervisory+RL
14,158040,30000,Supervisory+RL
15,199180,30000,Supervisory+RL
16,199110,30000,Supervisory+RL
17,158150,30000,Supervisory+RL
18,199170,30000,Supervisory+RL
19,157020,30000,Supervisory+RL
20,158120,30000,Supervisory+RL
21,198080,30000,Supervisory+RL
22,199100,30000,Supervisory+RL
23,159160,30000,Supervisory+RL
24,199100,30000,Supervisory+RL
25,157060,30000,Supervisory+RL
26,145970,30000,Supervisory+RL
27,198070,30000,Supervisory+RL
28,199100,30000,Supervisory+RL
29,198960,30000,Supervisory+RL
30,198130,30000,Supervisory+RL
31,198070,30000,Supervisory+RL
32,119210,30000,Supervisory+RL
33,199180,30000,Supervisory+RL
34,198060,30000,Supervisory+RL
35,197970,30000,Supervisory+RL
36,198020,30000,Supervisory+RL
37,199100,30000,Supervisory+RL
38,199120,30000,Supervisory+RL
39,117040,30000,Supervisory+RL
40,146960,30000,Supervisory+RL
41,157100,30000,Supervisory+RL
42,117040,30000,Supervisory+RL
43,198070,30000,Supervisory+RL
44,149110,30000,Supervisory+RL
45,117100,30000,Supervisory+RL
46,159080,30000,Supervisory+RL
47,198130,30000,Supervisory+RL
48,198030,30000,Supervisory+RL
49,199180,30000,Supervisory+RL
50,201660,30000,Supervisory+RL
51,204070,30000,Supervisory+RL
52,199600,30000,Supervisory+RL
53,201640,30000,Supervisory+RL
54,203070,30000,Supervisory+RL
55,164100,30000,Supervisory+RL
56,204110,30000,Supervisory+RL
57,203070,30000,Supervisory+RL
58,161720,30000,Supervisory+RL
59,201660,30000,Supervisory+RL
60,147440,30000,Supervisory+RL
61,198210,30000,Supervisory+RL
62,204120,30000,Supervisory+RL
63,151550,30000,Supervisory+RL
64,200990,30000,Supervisory+RL
65,204060,30000,Supervisory+RL
66,159600,30000,Supervisory+RL
67,199600,30000,Supervisory+RL
68,201700,30000,Supervisory+RL
69,205510,30000,Supervisory+RL
70,204120,30000,Supervisory+RL
71,196130,30000,Supervisory+RL
72,148100,30000,Supervisory+RL
73,161630,30000,Supervisory+RL
74,165550,30000,Supervisory+RL
75,198510,30000,Supervisory+RL
76,202090,30000,Supervisory+RL
77,151990,30000,Supervisory+RL
78,203030,30000,Supervisory+RL
79,121660,30000,Supervisory+RL
80,204060,30000,Supervisory+RL
81,203080,30000,Supervisory+RL
82,204160,30000,Supervisory+RL
83,164100,30000,Supervisory+RL
84,200560,30000,Supervisory+RL
85,200630,30000,Supervisory+RL
86,200630,30000,Supervisory+RL
87,200630,30000,Supervisory+RL
88,201010,30000,Supervisory+RL
89,200580,30000,Supervisory+RL
90,159200,30000,Supervisory+RL
91,198130,30000,Supervisory+RL
92,164050,30000,Supervisory+RL
93,151600,30000,Supervisory+RL
94,158170,30000,Supervisory+RL
95,200570,30000,Supervisory+RL
96,206560,30000,Supervisory+RL
97,162010,30000,Supervisory+RL
98,200630,30000,Supervisory+RL
99,160630,30000,Supervisory+RL
100,208070,30000,Supervisory+RL
101,203050,30000,Supervisory+RL
102,159190,30000,Supervisory+RL
103,204170,30000,Supervisory+RL
104,169150,30000,Supervisory+RL
105,151990,30000,Supervisory+RL
106,154100,30000,Supervisory+RL
107,204160,30000,Supervisory+RL
108,209120,30000,Supervisory+RL
109,202060,30000,Supervisory+RL
110,172990,30000,Supervisory+RL
111,199190,30000,Supervisory+RL
112,208070,30000,Supervisory+RL
113,201040,30000,Supervisory+RL
114,204210,30000,Supervisory+RL
115,198190,30000,Supervisory+RL
116,209100,30000,Supervisory+RL
117,208030,30000,Supervisory+RL
118,205000,30000,Supervisory+RL
119,153070,30000,Supervisory+RL
120,207040,30000,Supervisory+RL
121,207040,30000,Supervisory+RL
122,174080,30000,Supervisory+RL
123,151010,30000,Supervisory+RL
124,213010,30000,Supervisory+RL
125,203130,30000,Supervisory+RL
126,163150,30000,Supervisory+RL
127,209150,30000,Supervisory+RL
128,204060,30000,Supervisory+RL
129,204170,30000,Supervisory+RL
130,172040,30000,Supervisory+RL
131,204200,30000,Supervisory+RL
132,204220,30000,Supervisory+RL
133,124160,30000,Supervisory+RL
134,207040,30000,Supervisory+RL
135,202060,30000,Supervisory+RL
136,204110,30000,Supervisory+RL
137,204170,30000,Supervisory+RL
138,203110,30000,Supervisory+RL
139,169100,30000,Supervisory+RL
140,203140,30000,Supervisory+RL
141,213010,30000,Supervisory+RL
142,159120,30000,Supervisory+RL
143,159180,30000,Supervisory+RL
144,209160,30000,Supervisory+RL
145,209100,30000,Supervisory+RL
146,212040,30000,Supervisory+RL
147,209100,30000,Supervisory+RL
148,204160,30000,Supervisory+RL
149,208080,30000,Supervisory+RL
150,220430,30000,Supervisory+RL
151,212050,30000,Supervisory+RL
152,164520,30000,Supervisory+RL
153,225910,30000,Supervisory+RL
154,221540,30000,Supervisory+RL
155,206610,30000,Supervisory+RL
156,221600,30000,Supervisory+RL
157,180510,30000,Supervisory+RL
158,227970,30000,Supervisory+RL
159,213070,30000,Supervisory+RL
160,221540,30000,Supervisory+RL
161,75580,30000,Supervisory+RL
162,219560,30000,Supervisory+RL
163,206740,30000,Supervisory+RL
164,214100,30000,Supervisory+RL
165,211880,30000,Supervisory+RL
166,213070,30000,Supervisory+RL
167,205630,30000,Supervisory+RL
168,221540,30000,Supervisory+RL
169,221560,30000,Supervisory+RL
170,220590,30000,Supervisory+RL
171,221550,30000,Supervisory+RL
172,214100,30000,Supervisory+RL
173,229050,30000,Supervisory+RL
174,164060,30000,Supervisory+RL
175,214060,30000,Supervisory+RL
176,182800,30000,Supervisory+RL
177,220510,30000,Supervisory+RL
178,206670,30000,Supervisory+RL
179,228990,30000,Supervisory+RL
180,221620,30000,Supervisory+RL
181,161920,30000,Supervisory+RL
182,213090,30000,Supervisory+RL
183,181610,30000,Supervisory+RL
184,219440,30000,Supervisory+RL
185,211950,30000,Supervisory+RL
186,180460,30000,Supervisory+RL
187,214060,30000,Supervisory+RL
188,214060,30000,Supervisory+RL
189,174110,30000,Supervisory+RL
190,174130,30000,Supervisory+RL
191,169390,30000,Supervisory+RL
192,217430,30000,Supervisory+RL
193,221550,30000,Supervisory+RL
194,214100,30000,Supervisory+RL
195,217430,30000,Supervisory+RL
196,219540,30000,Supervisory+RL
197,188980,30000,Supervisory+RL
