,Number of Occurrences,Machine Cost,Event,Method
0,0,10,redo_A,Supervisory+RL
1,15,10,redo_A,Supervisory
2,17,100,redo_A,Supervisory+RL
3,19,100,redo_A,Supervisory
4,49,200,redo_A,Supervisory+RL
5,14,200,redo_A,Supervisory
6,27,300,redo_A,Supervisory+RL
7,17,300,redo_A,Supervisory
8,1,400,redo_A,Supervisory+RL
9,12,400,redo_A,Supervisory
10,56,500,redo_A,Supervisory+RL
11,13,500,redo_A,Supervisory
12,5,600,redo_A,Supervisory+RL
13,14,600,redo_A,Supervisory
14,39,700,redo_A,Supervisory+RL
15,18,700,redo_A,Supervisory
16,38,800,redo_A,Supervisory+RL
17,11,800,redo_A,Supervisory
18,42,10,redo_B,Supervisory+RL
19,8,10,redo_B,Supervisory
20,37,100,redo_B,Supervisory+RL
21,9,100,redo_B,Supervisory
22,21,200,redo_B,Supervisory+RL
23,12,200,redo_B,Supervisory
24,31,300,redo_B,Supervisory+RL
25,7,300,redo_B,Supervisory
26,38,400,redo_B,Supervisory+RL
27,11,400,redo_B,Supervisory
28,18,500,redo_B,Supervisory+RL
29,8,500,redo_B,Supervisory
30,10,600,redo_B,Supervisory+RL
31,9,600,redo_B,Supervisory
32,27,700,redo_B,Supervisory+RL
33,15,700,redo_B,Supervisory
34,24,800,redo_B,Supervisory+RL
35,7,800,redo_B,Supervisory
