,mean reward,Machine Cost,method
0,168110,10,Supervisory+RL
1,158180,10,Supervisory+RL
2,199230,10,Supervisory+RL
3,209220,10,Supervisory+RL
4,157160,10,Supervisory+RL
5,199220,10,Supervisory+RL
6,159230,10,Supervisory+RL
7,197160,10,Supervisory+RL
8,199220,10,Supervisory+RL
9,199220,10,Supervisory+RL
10,128130,10,Supervisory+RL
11,118190,10,Supervisory+RL
12,209160,10,Supervisory+RL
13,207130,10,Supervisory+RL
14,198190,10,Supervisory+RL
15,199220,10,Supervisory+RL
16,157160,10,Supervisory+RL
17,198190,10,Supervisory+RL
18,198190,10,Supervisory+RL
19,199220,10,Supervisory+RL
20,159170,10,Supervisory+RL
21,197160,10,Supervisory+RL
22,219120,10,Supervisory+RL
23,199220,10,Supervisory+RL
24,198190,10,Supervisory+RL
25,159220,10,Supervisory+RL
26,118150,10,Supervisory+RL
27,197160,10,Supervisory+RL
28,199160,10,Supervisory+RL
29,159170,10,Supervisory+RL
30,157170,10,Supervisory+RL
31,198190,10,Supervisory+RL
32,198190,10,Supervisory+RL
33,198090,10,Supervisory+RL
34,197160,10,Supervisory+RL
35,158190,10,Supervisory+RL
36,196030,10,Supervisory+RL
37,198190,10,Supervisory+RL
38,198190,10,Supervisory+RL
39,199220,10,Supervisory+RL
40,198200,10,Supervisory+RL
41,208130,10,Supervisory+RL
42,198190,10,Supervisory+RL
43,199230,10,Supervisory+RL
44,168090,10,Supervisory+RL
45,199220,10,Supervisory+RL
46,197100,10,Supervisory+RL
47,168130,10,Supervisory+RL
48,198270,10,Supervisory+RL
49,159220,10,Supervisory+RL
50,192200,100,Supervisory+RL
51,190700,100,Supervisory+RL
52,160300,100,Supervisory+RL
53,209700,100,Supervisory+RL
54,189600,100,Supervisory+RL
55,160300,100,Supervisory+RL
56,192200,100,Supervisory+RL
57,192200,100,Supervisory+RL
58,200400,100,Supervisory+RL
59,192200,100,Supervisory+RL
60,200500,100,Supervisory+RL
61,149700,100,Supervisory+RL
62,192200,100,Supervisory+RL
63,197900,100,Supervisory+RL
64,192200,100,Supervisory+RL
65,200300,100,Supervisory+RL
66,98600,100,Supervisory+RL
67,210800,100,Supervisory+RL
68,196900,100,Supervisory+RL
69,121400,100,Supervisory+RL
70,201100,100,Supervisory+RL
71,191600,100,Supervisory+RL
72,190900,100,Supervisory+RL
73,189600,100,Supervisory+RL
74,197700,100,Supervisory+RL
75,200300,100,Supervisory+RL
76,189100,100,Supervisory+RL
77,192200,100,Supervisory+RL
78,201600,100,Supervisory+RL
79,210300,100,Supervisory+RL
80,151800,100,Supervisory+RL
81,201200,100,Supervisory+RL
82,188300,100,Supervisory+RL
83,119400,100,Supervisory+RL
84,193600,100,Supervisory+RL
85,201600,100,Supervisory+RL
86,201600,100,Supervisory+RL
87,161500,100,Supervisory+RL
88,159000,100,Supervisory+RL
89,152300,100,Supervisory+RL
90,192200,100,Supervisory+RL
91,186600,100,Supervisory+RL
92,197500,100,Supervisory+RL
93,192200,100,Supervisory+RL
94,200300,100,Supervisory+RL
95,149100,100,Supervisory+RL
96,159000,100,Supervisory+RL
97,200900,100,Supervisory+RL
98,201200,100,Supervisory+RL
99,192200,100,Supervisory+RL
100,150400,200,Supervisory+RL
101,210800,200,Supervisory+RL
102,209200,200,Supervisory+RL
103,168200,200,Supervisory+RL
104,204600,200,Supervisory+RL
105,193200,200,Supervisory+RL
106,213600,200,Supervisory+RL
107,199400,200,Supervisory+RL
108,208400,200,Supervisory+RL
109,209200,200,Supervisory+RL
110,202000,200,Supervisory+RL
111,194000,200,Supervisory+RL
112,151200,200,Supervisory+RL
113,167600,200,Supervisory+RL
114,210800,200,Supervisory+RL
115,210000,200,Supervisory+RL
116,161000,200,Supervisory+RL
117,198800,200,Supervisory+RL
118,170800,200,Supervisory+RL
119,197200,200,Supervisory+RL
120,218000,200,Supervisory+RL
121,204400,200,Supervisory+RL
122,199600,200,Supervisory+RL
123,199400,200,Supervisory+RL
124,149600,200,Supervisory+RL
125,200000,200,Supervisory+RL
126,193200,200,Supervisory+RL
127,163400,200,Supervisory+RL
128,170200,200,Supervisory+RL
129,160800,200,Supervisory+RL
130,200800,200,Supervisory+RL
131,209200,200,Supervisory+RL
132,201000,200,Supervisory+RL
133,199800,200,Supervisory+RL
134,199000,200,Supervisory+RL
135,207800,200,Supervisory+RL
136,199200,200,Supervisory+RL
137,206800,200,Supervisory+RL
138,206000,200,Supervisory+RL
139,209600,200,Supervisory+RL
140,207600,200,Supervisory+RL
141,214000,200,Supervisory+RL
142,208800,200,Supervisory+RL
143,200600,200,Supervisory+RL
144,190000,200,Supervisory+RL
145,199600,200,Supervisory+RL
146,209400,200,Supervisory+RL
147,200000,200,Supervisory+RL
148,207600,200,Supervisory+RL
149,169600,200,Supervisory+RL
150,160600,300,Supervisory+RL
151,151100,300,Supervisory+RL
152,191800,300,Supervisory+RL
153,193600,300,Supervisory+RL
154,193000,300,Supervisory+RL
155,191100,300,Supervisory+RL
156,184800,300,Supervisory+RL
157,191300,300,Supervisory+RL
158,193600,300,Supervisory+RL
159,199900,300,Supervisory+RL
160,194300,300,Supervisory+RL
161,185100,300,Supervisory+RL
162,188400,300,Supervisory+RL
163,189800,300,Supervisory+RL
164,199300,300,Supervisory+RL
165,198000,300,Supervisory+RL
166,177200,300,Supervisory+RL
167,193200,300,Supervisory+RL
168,197100,300,Supervisory+RL
169,189900,300,Supervisory+RL
170,184800,300,Supervisory+RL
171,196800,300,Supervisory+RL
