,mean reward,Rework Cost,method
0,208150,1000,Supervisory+RL
1,198190,1000,Supervisory+RL
2,197150,1000,Supervisory+RL
3,199200,1000,Supervisory+RL
4,199190,1000,Supervisory+RL
5,159220,1000,Supervisory+RL
6,168140,1000,Supervisory+RL
7,158150,1000,Supervisory+RL
8,197160,1000,Supervisory+RL
9,199200,1000,Supervisory+RL
10,159180,1000,Supervisory+RL
11,199240,1000,Supervisory+RL
12,199230,1000,Supervisory+RL
13,119180,1000,Supervisory+RL
14,198150,1000,Supervisory+RL
15,155100,1000,Supervisory+RL
16,159170,1000,Supervisory+RL
17,197140,1000,Supervisory+RL
18,157160,1000,Supervisory+RL
19,125040,1000,Supervisory+RL
20,199220,1000,Supervisory+RL
21,198150,1000,Supervisory+RL
22,167060,1000,Supervisory+RL
23,158170,1000,Supervisory+RL
24,199220,1000,Supervisory+RL
25,199220,1000,Supervisory+RL
26,198190,1000,Supervisory+RL
27,199260,1000,Supervisory+RL
28,199230,1000,Supervisory+RL
29,159190,1000,Supervisory+RL
30,199220,1000,Supervisory+RL
31,198170,1000,Supervisory+RL
32,199180,1000,Supervisory+RL
33,198190,1000,Supervisory+RL
34,199220,1000,Supervisory+RL
35,198170,1000,Supervisory+RL
36,198180,1000,Supervisory+RL
37,199160,1000,Supervisory+RL
38,199200,1000,Supervisory+RL
39,117030,1000,Supervisory+RL
40,198150,1000,Supervisory+RL
41,167140,1000,Supervisory+RL
42,167110,1000,Supervisory+RL
43,209240,1000,Supervisory+RL
44,157170,1000,Supervisory+RL
45,199220,1000,Supervisory+RL
46,197160,1000,Supervisory+RL
47,206070,1000,Supervisory+RL
48,199220,1000,Supervisory+RL
49,199220,1000,Supervisory+RL
50,213090,2000,Supervisory+RL
51,209160,2000,Supervisory+RL
52,199230,2000,Supervisory+RL
53,165060,2000,Supervisory+RL
54,163000,2000,Supervisory+RL
55,224980,2000,Supervisory+RL
56,207170,2000,Supervisory+RL
57,157070,2000,Supervisory+RL
58,169240,2000,Supervisory+RL
59,199160,2000,Supervisory+RL
60,117190,2000,Supervisory+RL
61,219040,2000,Supervisory+RL
62,207070,2000,Supervisory+RL
63,159190,2000,Supervisory+RL
64,219150,2000,Supervisory+RL
65,147030,2000,Supervisory+RL
66,197190,2000,Supervisory+RL
67,209160,2000,Supervisory+RL
68,207130,2000,Supervisory+RL
69,165050,2000,Supervisory+RL
70,209120,2000,Supervisory+RL
71,199170,2000,Supervisory+RL
72,169160,2000,Supervisory+RL
73,222950,2000,Supervisory+RL
74,205060,2000,Supervisory+RL
75,205060,2000,Supervisory+RL
76,207130,2000,Supervisory+RL
77,197190,2000,Supervisory+RL
78,209180,2000,Supervisory+RL
79,205150,2000,Supervisory+RL
80,202990,2000,Supervisory+RL
81,217080,2000,Supervisory+RL
82,205110,2000,Supervisory+RL
83,209110,2000,Supervisory+RL
84,212960,2000,Supervisory+RL
85,225060,2000,Supervisory+RL
86,205090,2000,Supervisory+RL
87,207070,2000,Supervisory+RL
88,205100,2000,Supervisory+RL
89,187020,2000,Supervisory+RL
90,197190,2000,Supervisory+RL
91,199220,2000,Supervisory+RL
92,215040,2000,Supervisory+RL
93,156990,2000,Supervisory+RL
94,150980,2000,Supervisory+RL
95,209140,2000,Supervisory+RL
96,219110,2000,Supervisory+RL
97,196990,2000,Supervisory+RL
98,229040,2000,Supervisory+RL
99,86970,2000,Supervisory+RL
100,159220,3000,Supervisory+RL
101,159200,3000,Supervisory+RL
102,159220,3000,Supervisory+RL
103,159220,3000,Supervisory+RL
104,206110,3000,Supervisory+RL
105,156160,3000,Supervisory+RL
106,169140,3000,Supervisory+RL
107,199220,3000,Supervisory+RL
108,196150,3000,Supervisory+RL
109,166130,3000,Supervisory+RL
110,199220,3000,Supervisory+RL
111,196190,3000,Supervisory+RL
112,199190,3000,Supervisory+RL
113,166140,3000,Supervisory+RL
114,199220,3000,Supervisory+RL
115,159200,3000,Supervisory+RL
116,206170,3000,Supervisory+RL
117,159220,3000,Supervisory+RL
118,159170,3000,Supervisory+RL
119,193160,3000,Supervisory+RL
120,196190,3000,Supervisory+RL
121,156030,3000,Supervisory+RL
122,196150,3000,Supervisory+RL
123,149160,3000,Supervisory+RL
124,209120,3000,Supervisory+RL
125,203100,3000,Supervisory+RL
126,196170,3000,Supervisory+RL
127,196190,3000,Supervisory+RL
128,199200,3000,Supervisory+RL
129,196190,3000,Supervisory+RL
130,199200,3000,Supervisory+RL
131,203100,3000,Supervisory+RL
132,169160,3000,Supervisory+RL
133,209070,3000,Supervisory+RL
134,209160,3000,Supervisory+RL
135,206130,3000,Supervisory+RL
136,129100,3000,Supervisory+RL
137,196190,3000,Supervisory+RL
138,193160,3000,Supervisory+RL
139,209160,3000,Supervisory+RL
140,129160,3000,Supervisory+RL
141,169060,3000,Supervisory+RL
142,146130,3000,Supervisory+RL
143,196170,3000,Supervisory+RL
144,199220,3000,Supervisory+RL
145,136070,3000,Supervisory+RL
146,159210,3000,Supervisory+RL
147,206130,3000,Supervisory+RL
148,203100,3000,Supervisory+RL
149,209160,3000,Supervisory+RL
150,159200,4000,Supervisory+RL
151,111160,4000,Supervisory+RL
152,159230,4000,Supervisory+RL
153,199200,4000,Supervisory+RL
154,155210,4000,Supervisory+RL
155,119260,4000,Supervisory+RL
156,119240,4000,Supervisory+RL
157,165110,4000,Supervisory+RL
158,169150,4000,Supervisory+RL
159,159230,4000,Supervisory+RL
160,161150,4000,Supervisory+RL
161,151100,4000,Supervisory+RL
162,155200,4000,Supervisory+RL
163,199140,4000,Supervisory+RL
164,159220,4000,Supervisory+RL
165,195100,4000,Supervisory+RL
166,199220,4000,Supervisory+RL
167,151160,4000,Supervisory+RL
168,159220,4000,Supervisory+RL
169,195150,4000,Supervisory+RL
170,199180,4000,Supervisory+RL
171,159190,4000,Supervisory+RL
172,199240,4000,Supervisory+RL
173,159280,4000,Supervisory+RL
174,199220,4000,Supervisory+RL
175,199220,4000,Supervisory+RL
176,155210,4000,Supervisory+RL
177,195190,4000,Supervisory+RL
178,151140,4000,Supervisory+RL
179,165130,4000,Supervisory+RL
