,Number of Occurrences,Rejection Type 1 Probability,Event,Method
0,0,10.0,redo_A,Supervisory+RL
1,9,10.0,redo_A,Supervisory
2,0,20.0,redo_A,Supervisory+RL
3,20,20.0,redo_A,Supervisory
4,0,30.0,redo_A,Supervisory+RL
5,58,30.0,redo_A,Supervisory
6,0,40.0,redo_A,Supervisory+RL
7,45,40.0,redo_A,Supervisory
8,0,50.0,redo_A,Supervisory+RL
9,92,50.0,redo_A,Supervisory
10,0,60.0,redo_A,Supervisory+RL
11,113,60.0,redo_A,Supervisory
12,0,70.0,redo_A,Supervisory+RL
13,169,70.0,redo_A,Supervisory
14,0,80.0,redo_A,Supervisory+RL
15,171,80.0,redo_A,Supervisory
16,0,90.0,redo_A,Supervisory+RL
17,209,90.0,redo_A,Supervisory
18,0,10.0,redo_B,Supervisory+RL
19,17,10.0,redo_B,Supervisory
20,0,20.0,redo_B,Supervisory+RL
21,10,20.0,redo_B,Supervisory
22,0,30.0,redo_B,Supervisory+RL
23,15,30.0,redo_B,Supervisory
24,0,40.0,redo_B,Supervisory+RL
25,17,40.0,redo_B,Supervisory
26,0,50.0,redo_B,Supervisory+RL
27,10,50.0,redo_B,Supervisory
28,0,60.0,redo_B,Supervisory+RL
29,15,60.0,redo_B,Supervisory
30,0,70.0,redo_B,Supervisory+RL
31,9,70.0,redo_B,Supervisory
32,0,80.0,redo_B,Supervisory+RL
33,15,80.0,redo_B,Supervisory
34,0,90.0,redo_B,Supervisory+RL
35,3,90.0,redo_B,Supervisory
