,mean reward,Rejection Type 1 Probability,method
0,159300,10.0,Supervisory+RL
1,199300,10.0,Supervisory+RL
2,199300,10.0,Supervisory+RL
3,159300,10.0,Supervisory+RL
4,119300,10.0,Supervisory+RL
5,159300,10.0,Supervisory+RL
6,119300,10.0,Supervisory+RL
7,159300,10.0,Supervisory+RL
8,199300,10.0,Supervisory+RL
9,199300,10.0,Supervisory+RL
10,159300,10.0,Supervisory+RL
11,199300,10.0,Supervisory+RL
12,199300,10.0,Supervisory+RL
13,199300,10.0,Supervisory+RL
14,199300,10.0,Supervisory+RL
15,199300,10.0,Supervisory+RL
16,159300,10.0,Supervisory+RL
17,199300,10.0,Supervisory+RL
18,79300,10.0,Supervisory+RL
19,119300,10.0,Supervisory+RL
20,159300,10.0,Supervisory+RL
21,159300,10.0,Supervisory+RL
22,39300,10.0,Supervisory+RL
23,119300,10.0,Supervisory+RL
24,159300,10.0,Supervisory+RL
25,119300,10.0,Supervisory+RL
26,119300,10.0,Supervisory+RL
27,199300,10.0,Supervisory+RL
28,199300,10.0,Supervisory+RL
29,199300,10.0,Supervisory+RL
30,199300,10.0,Supervisory+RL
31,199300,10.0,Supervisory+RL
32,199300,10.0,Supervisory+RL
33,159300,10.0,Supervisory+RL
34,199300,10.0,Supervisory+RL
35,119300,10.0,Supervisory+RL
36,199300,10.0,Supervisory+RL
37,119300,10.0,Supervisory+RL
38,199300,10.0,Supervisory+RL
39,159300,10.0,Supervisory+RL
40,199300,10.0,Supervisory+RL
41,199300,10.0,Supervisory+RL
42,159300,10.0,Supervisory+RL
43,159300,10.0,Supervisory+RL
44,119300,10.0,Supervisory+RL
45,159300,10.0,Supervisory+RL
46,159300,10.0,Supervisory+RL
47,119300,10.0,Supervisory+RL
48,119300,10.0,Supervisory+RL
49,39300,10.0,Supervisory+RL
50,119300,20.0,Supervisory+RL
51,159300,20.0,Supervisory+RL
52,159300,20.0,Supervisory+RL
53,159300,20.0,Supervisory+RL
54,199300,20.0,Supervisory+RL
55,199300,20.0,Supervisory+RL
56,199300,20.0,Supervisory+RL
57,159300,20.0,Supervisory+RL
58,119300,20.0,Supervisory+RL
59,159300,20.0,Supervisory+RL
60,199300,20.0,Supervisory+RL
61,159300,20.0,Supervisory+RL
62,119300,20.0,Supervisory+RL
63,159300,20.0,Supervisory+RL
64,159300,20.0,Supervisory+RL
65,199300,20.0,Supervisory+RL
66,199300,20.0,Supervisory+RL
67,199300,20.0,Supervisory+RL
68,79300,20.0,Supervisory+RL
69,199300,20.0,Supervisory+RL
70,159300,20.0,Supervisory+RL
71,199300,20.0,Supervisory+RL
72,159300,20.0,Supervisory+RL
73,199300,20.0,Supervisory+RL
74,79300,20.0,Supervisory+RL
75,79300,20.0,Supervisory+RL
76,159300,20.0,Supervisory+RL
77,39300,20.0,Supervisory+RL
78,159300,20.0,Supervisory+RL
79,159300,20.0,Supervisory+RL
80,159300,20.0,Supervisory+RL
81,119300,20.0,Supervisory+RL
82,159300,20.0,Supervisory+RL
83,-700,20.0,Supervisory+RL
84,159300,20.0,Supervisory+RL
85,159300,20.0,Supervisory+RL
86,159300,20.0,Supervisory+RL
87,79300,20.0,Supervisory+RL
88,199300,20.0,Supervisory+RL
