,mean reward,Fail Probability,method
0,209080,10,Supervisory+RL
1,219110,10,Supervisory+RL
2,289110,10,Supervisory+RL
3,269080,10,Supervisory+RL
4,219080,10,Supervisory+RL
5,209080,10,Supervisory+RL
6,266910,10,Supervisory+RL
7,279070,10,Supervisory+RL
8,208940,10,Supervisory+RL
9,169060,10,Supervisory+RL
10,279080,10,Supervisory+RL
11,229010,10,Supervisory+RL
12,219070,10,Supervisory+RL
13,229140,10,Supervisory+RL
14,288090,10,Supervisory+RL
15,279110,10,Supervisory+RL
16,277020,10,Supervisory+RL
17,279110,10,Supervisory+RL
18,189120,10,Supervisory+RL
19,269020,10,Supervisory+RL
20,268080,20,Supervisory+RL
21,218090,20,Supervisory+RL
22,218050,20,Supervisory+RL
23,279060,20,Supervisory+RL
24,279050,20,Supervisory+RL
25,279110,20,Supervisory+RL
26,279080,20,Supervisory+RL
27,69010,20,Supervisory+RL
28,267990,20,Supervisory+RL
29,219060,20,Supervisory+RL
30,269020,20,Supervisory+RL
31,235980,20,Supervisory+RL
32,278060,20,Supervisory+RL
33,267990,20,Supervisory+RL
34,219110,20,Supervisory+RL
35,219060,20,Supervisory+RL
36,277010,20,Supervisory+RL
37,229010,20,Supervisory+RL
38,279080,20,Supervisory+RL
39,179070,20,Supervisory+RL
40,239070,30,Supervisory+RL
41,289130,30,Supervisory+RL
42,279070,30,Supervisory+RL
43,179080,30,Supervisory+RL
44,207980,30,Supervisory+RL
45,229130,30,Supervisory+RL
46,249170,30,Supervisory+RL
47,249130,30,Supervisory+RL
48,278050,30,Supervisory+RL
49,229000,30,Supervisory+RL
50,227050,30,Supervisory+RL
51,267990,30,Supervisory+RL
52,169170,30,Supervisory+RL
53,289140,30,Supervisory+RL
54,289170,30,Supervisory+RL
55,248110,30,Supervisory+RL
56,228090,30,Supervisory+RL
57,289130,30,Supervisory+RL
58,299190,30,Supervisory+RL
59,119190,30,Supervisory+RL
60,167990,40,Supervisory+RL
61,237010,40,Supervisory+RL
62,219080,40,Supervisory+RL
63,278070,40,Supervisory+RL
64,226960,40,Supervisory+RL
65,267050,40,Supervisory+RL
66,267050,40,Supervisory+RL
67,264940,40,Supervisory+RL
68,278080,40,Supervisory+RL
69,118960,40,Supervisory+RL
70,229080,40,Supervisory+RL
71,277000,40,Supervisory+RL
72,269050,40,Supervisory+RL
73,279060,40,Supervisory+RL
74,229020,40,Supervisory+RL
75,239020,40,Supervisory+RL
76,178050,40,Supervisory+RL
77,189040,40,Supervisory+RL
78,229030,40,Supervisory+RL
79,168980,40,Supervisory+RL
80,238150,50,Supervisory+RL
81,299230,50,Supervisory+RL
82,238150,50,Supervisory+RL
83,179230,50,Supervisory+RL
84,299180,50,Supervisory+RL
85,179190,50,Supervisory+RL
86,239200,50,Supervisory+RL
87,299180,50,Supervisory+RL
88,299230,50,Supervisory+RL
89,299190,50,Supervisory+RL
90,178170,50,Supervisory+RL
91,238200,50,Supervisory+RL
92,299180,50,Supervisory+RL
93,299200,50,Supervisory+RL
94,239230,50,Supervisory+RL
95,299180,50,Supervisory+RL
96,299180,50,Supervisory+RL
97,239180,50,Supervisory+RL
98,239190,50,Supervisory+RL
99,299230,50,Supervisory+RL
100,239200,60,Supervisory+RL
101,299190,60,Supervisory+RL
102,299190,60,Supervisory+RL
103,299230,60,Supervisory+RL
104,239190,60,Supervisory+RL
105,299180,60,Supervisory+RL
106,299170,60,Supervisory+RL
107,299200,60,Supervisory+RL
108,239190,60,Supervisory+RL
109,299200,60,Supervisory+RL
110,299200,60,Supervisory+RL
111,239200,60,Supervisory+RL
112,239190,60,Supervisory+RL
113,299180,60,Supervisory+RL
114,299200,60,Supervisory+RL
115,239230,60,Supervisory+RL
116,299190,60,Supervisory+RL
117,239200,60,Supervisory+RL
118,299200,60,Supervisory+RL
119,298170,60,Supervisory+RL
120,199070,70,Supervisory+RL
121,179230,70,Supervisory+RL
122,219080,70,Supervisory+RL
123,287110,70,Supervisory+RL
124,189130,70,Supervisory+RL
125,249130,70,Supervisory+RL
126,188100,70,Supervisory+RL
127,197000,70,Supervisory+RL
128,289120,70,Supervisory+RL
129,299230,70,Supervisory+RL
130,299230,70,Supervisory+RL
131,287080,70,Supervisory+RL
132,239060,70,Supervisory+RL
133,289170,70,Supervisory+RL
134,189170,70,Supervisory+RL
135,249120,70,Supervisory+RL
136,228080,70,Supervisory+RL
137,229100,70,Supervisory+RL
138,229120,70,Supervisory+RL
139,189130,70,Supervisory+RL
140,78140,80,Supervisory+RL
141,249130,80,Supervisory+RL
142,198030,80,Supervisory+RL
143,189140,80,Supervisory+RL
144,249120,80,Supervisory+RL
145,139070,80,Supervisory+RL
146,89010,80,Supervisory+RL
147,199110,80,Supervisory+RL
148,249170,80,Supervisory+RL
149,199080,80,Supervisory+RL
150,248090,80,Supervisory+RL
151,239060,80,Supervisory+RL
152,199080,80,Supervisory+RL
153,239070,80,Supervisory+RL
154,199050,80,Supervisory+RL
155,199120,80,Supervisory+RL
156,288100,80,Supervisory+RL
157,177020,80,Supervisory+RL
158,239110,80,Supervisory+RL
159,147990,80,Supervisory+RL
160,198060,90,Supervisory+RL
161,199120,90,Supervisory+RL
162,198040,90,Supervisory+RL
163,197020,90,Supervisory+RL
164,199140,90,Supervisory+RL
165,143930,90,Supervisory+RL
166,239080,90,Supervisory+RL
167,247110,90,Supervisory+RL
168,199060,90,Supervisory+RL
169,139080,90,Supervisory+RL
170,238030,90,Supervisory+RL
171,199060,90,Supervisory+RL
172,136020,90,Supervisory+RL
