,mean reward,Machine Cost,method
0,167060,10,Supervisory+RL
1,168130,10,Supervisory+RL
2,199220,10,Supervisory+RL
3,218110,10,Supervisory+RL
4,86980,10,Supervisory+RL
5,218150,10,Supervisory+RL
6,217040,10,Supervisory+RL
7,208130,10,Supervisory+RL
8,169130,10,Supervisory+RL
9,218070,10,Supervisory+RL
10,199220,10,Supervisory+RL
11,199170,10,Supervisory+RL
12,198150,10,Supervisory+RL
13,158190,10,Supervisory+RL
14,198150,10,Supervisory+RL
15,199220,10,Supervisory+RL
16,218130,10,Supervisory+RL
17,159220,10,Supervisory+RL
18,165060,10,Supervisory+RL
19,167060,10,Supervisory+RL
20,209160,10,Supervisory+RL
21,218110,10,Supervisory+RL
22,208130,10,Supervisory+RL
23,145950,10,Supervisory+RL
24,177090,10,Supervisory+RL
25,199220,10,Supervisory+RL
26,168060,10,Supervisory+RL
27,209120,10,Supervisory+RL
28,209160,10,Supervisory+RL
29,159170,10,Supervisory+RL
30,149160,10,Supervisory+RL
31,208150,10,Supervisory+RL
32,217100,10,Supervisory+RL
33,168150,10,Supervisory+RL
34,167120,10,Supervisory+RL
35,208150,10,Supervisory+RL
36,168010,10,Supervisory+RL
37,146030,10,Supervisory+RL
38,199180,10,Supervisory+RL
39,199220,10,Supervisory+RL
40,199190,10,Supervisory+RL
41,169160,10,Supervisory+RL
42,104830,10,Supervisory+RL
43,198150,10,Supervisory+RL
44,129060,10,Supervisory+RL
45,209160,10,Supervisory+RL
46,208150,10,Supervisory+RL
47,218070,10,Supervisory+RL
48,217040,10,Supervisory+RL
49,168130,10,Supervisory+RL
50,224630,50,Supervisory+RL
51,184380,50,Supervisory+RL
52,224640,50,Supervisory+RL
53,150280,50,Supervisory+RL
54,166130,50,Supervisory+RL
55,224380,50,Supervisory+RL
56,213940,50,Supervisory+RL
57,175830,50,Supervisory+RL
58,215980,50,Supervisory+RL
59,206590,50,Supervisory+RL
60,185680,50,Supervisory+RL
61,224470,50,Supervisory+RL
62,215880,50,Supervisory+RL
63,206380,50,Supervisory+RL
64,164490,50,Supervisory+RL
65,213580,50,Supervisory+RL
66,214830,50,Supervisory+RL
67,176190,50,Supervisory+RL
68,142680,50,Supervisory+RL
69,205090,50,Supervisory+RL
70,174790,50,Supervisory+RL
71,224690,50,Supervisory+RL
72,215940,50,Supervisory+RL
73,214830,50,Supervisory+RL
74,206430,50,Supervisory+RL
75,224480,50,Supervisory+RL
76,154530,50,Supervisory+RL
77,214990,50,Supervisory+RL
78,185730,50,Supervisory+RL
79,224790,50,Supervisory+RL
80,215090,50,Supervisory+RL
81,174370,50,Supervisory+RL
82,221930,50,Supervisory+RL
83,225680,50,Supervisory+RL
84,220190,50,Supervisory+RL
85,184370,50,Supervisory+RL
86,114790,50,Supervisory+RL
87,223340,50,Supervisory+RL
88,214790,50,Supervisory+RL
89,215870,50,Supervisory+RL
90,162230,50,Supervisory+RL
91,135980,50,Supervisory+RL
92,173840,50,Supervisory+RL
93,214790,50,Supervisory+RL
94,215090,50,Supervisory+RL
95,163380,50,Supervisory+RL
96,225880,50,Supervisory+RL
97,174630,50,Supervisory+RL
98,205130,50,Supervisory+RL
99,222230,50,Supervisory+RL
100,171290,100,Supervisory+RL
101,200700,100,Supervisory+RL
102,162890,100,Supervisory+RL
103,161980,100,Supervisory+RL
104,209580,100,Supervisory+RL
105,162680,100,Supervisory+RL
106,210100,100,Supervisory+RL
107,170570,100,Supervisory+RL
108,111380,100,Supervisory+RL
109,119780,100,Supervisory+RL
110,153280,100,Supervisory+RL
111,211470,100,Supervisory+RL
112,179080,100,Supervisory+RL
113,202580,100,Supervisory+RL
114,178990,100,Supervisory+RL
115,212180,100,Supervisory+RL
116,220490,100,Supervisory+RL
117,141380,100,Supervisory+RL
118,209990,100,Supervisory+RL
119,192090,100,Supervisory+RL
120,162480,100,Supervisory+RL
121,193190,100,Supervisory+RL
122,161070,100,Supervisory+RL
123,200780,100,Supervisory+RL
124,203190,100,Supervisory+RL
125,163080,100,Supervisory+RL
126,202590,100,Supervisory+RL
127,210890,100,Supervisory+RL
128,202790,100,Supervisory+RL
129,142170,100,Supervisory+RL
130,190080,100,Supervisory+RL
131,210880,100,Supervisory+RL
132,161490,100,Supervisory+RL
133,209390,100,Supervisory+RL
134,202780,100,Supervisory+RL
135,193390,100,Supervisory+RL
136,159670,100,Supervisory+RL
137,202680,100,Supervisory+RL
138,208980,100,Supervisory+RL
139,199370,100,Supervisory+RL
140,201380,100,Supervisory+RL
141,169480,100,Supervisory+RL
142,202680,100,Supervisory+RL
143,224380,100,Supervisory+RL
144,202680,100,Supervisory+RL
145,190280,100,Supervisory+RL
146,212480,100,Supervisory+RL
147,202680,100,Supervisory+RL
148,153280,100,Supervisory+RL
149,170670,100,Supervisory+RL
150,206590,150,Supervisory+RL
151,199690,150,Supervisory+RL
152,216590,150,Supervisory+RL
153,205280,150,Supervisory+RL
154,217140,150,Supervisory+RL
155,197630,150,Supervisory+RL
156,114780,150,Supervisory+RL
157,198940,150,Supervisory+RL
158,211020,150,Supervisory+RL
159,167720,150,Supervisory+RL
160,198240,150,Supervisory+RL
161,175830,150,Supervisory+RL
162,197490,150,Supervisory+RL
163,206120,150,Supervisory+RL
164,164830,150,Supervisory+RL
165,199080,150,Supervisory+RL
166,200930,150,Supervisory+RL
167,215140,150,Supervisory+RL
168,205590,150,Supervisory+RL
169,214240,150,Supervisory+RL
170,189440,150,Supervisory+RL
171,218190,150,Supervisory+RL
172,215220,150,Supervisory+RL
173,194290,150,Supervisory+RL
174,215980,150,Supervisory+RL
175,195430,150,Supervisory+RL
176,208330,150,Supervisory+RL
177,204530,150,Supervisory+RL
178,196790,150,Supervisory+RL
179,205880,150,Supervisory+RL
180,159080,150,Supervisory+RL
