,mean reward,Fail Probability,method
0,219110,10,SCT + RL
1,179080,10,SCT + RL
2,138050,10,SCT + RL
3,179080,10,SCT + RL
4,209070,10,SCT + RL
5,169130,10,SCT + RL
6,219170,10,SCT + RL
7,159090,10,SCT + RL
8,179080,10,SCT + RL
9,219140,10,SCT + RL
10,219060,10,SCT + RL
11,169080,10,SCT + RL
12,218080,10,SCT + RL
13,179080,10,SCT + RL
14,229080,10,SCT + RL
15,228080,10,SCT + RL
16,178050,10,SCT + RL
17,209170,10,SCT + RL
18,219080,10,SCT + RL
19,219110,10,SCT + RL
20,159190,20,SCT + RL
21,209170,20,SCT + RL
22,149170,20,SCT + RL
23,209130,20,SCT + RL
24,169130,20,SCT + RL
25,159180,20,SCT + RL
26,199180,20,SCT + RL
27,209130,20,SCT + RL
28,209140,20,SCT + RL
29,159200,20,SCT + RL
30,209130,20,SCT + RL
31,209120,20,SCT + RL
32,199190,20,SCT + RL
33,159080,20,SCT + RL
34,219080,20,SCT + RL
35,179060,20,SCT + RL
36,179060,20,SCT + RL
37,129130,20,SCT + RL
38,209170,20,SCT + RL
39,168980,20,SCT + RL
40,129140,30,SCT + RL
41,219070,30,SCT + RL
42,179070,30,SCT + RL
43,219040,30,SCT + RL
44,218050,30,SCT + RL
45,129070,30,SCT + RL
46,219070,30,SCT + RL
47,159060,30,SCT + RL
48,177990,30,SCT + RL
49,139060,30,SCT + RL
50,167980,30,SCT + RL
51,169060,30,SCT + RL
52,219000,30,SCT + RL
53,179100,30,SCT + RL
54,168980,30,SCT + RL
55,228940,30,SCT + RL
56,69020,30,SCT + RL
57,229060,30,SCT + RL
58,99010,30,SCT + RL
59,159080,30,SCT + RL
60,218050,40,SCT + RL
61,109140,40,SCT + RL
62,219080,40,SCT + RL
63,219090,40,SCT + RL
64,169230,40,SCT + RL
65,119060,40,SCT + RL
66,78040,40,SCT + RL
67,169120,40,SCT + RL
68,209130,40,SCT + RL
69,159170,40,SCT + RL
70,99070,40,SCT + RL
71,159230,40,SCT + RL
72,209120,40,SCT + RL
73,159080,40,SCT + RL
74,169050,40,SCT + RL
75,219070,40,SCT + RL
76,229010,40,SCT + RL
77,159070,40,SCT + RL
78,149130,40,SCT + RL
79,199190,40,SCT + RL
80,119190,50,SCT + RL
81,119180,50,SCT + RL
82,199190,50,SCT + RL
83,199230,50,SCT + RL
84,159230,50,SCT + RL
85,199190,50,SCT + RL
86,159180,50,SCT + RL
87,199230,50,SCT + RL
88,159200,50,SCT + RL
89,159230,50,SCT + RL
90,199190,50,SCT + RL
91,199180,50,SCT + RL
92,159230,50,SCT + RL
93,199190,50,SCT + RL
94,199230,50,SCT + RL
95,159200,50,SCT + RL
96,199180,50,SCT + RL
97,199190,50,SCT + RL
98,199230,50,SCT + RL
99,199180,50,SCT + RL
100,197140,60,SCT + RL
101,199200,60,SCT + RL
102,199190,60,SCT + RL
103,119180,60,SCT + RL
104,199200,60,SCT + RL
105,199200,60,SCT + RL
106,159230,60,SCT + RL
107,199180,60,SCT + RL
108,199200,60,SCT + RL
109,199170,60,SCT + RL
110,199200,60,SCT + RL
111,199180,60,SCT + RL
112,198200,60,SCT + RL
113,199200,60,SCT + RL
114,159200,60,SCT + RL
115,159190,60,SCT + RL
116,198170,60,SCT + RL
117,159180,60,SCT + RL
118,199180,60,SCT + RL
119,159180,60,SCT + RL
120,209130,70,SCT + RL
121,199170,70,SCT + RL
122,199150,70,SCT + RL
123,199180,70,SCT + RL
124,149140,70,SCT + RL
125,149070,70,SCT + RL
126,149130,70,SCT + RL
127,198170,70,SCT + RL
128,57040,70,SCT + RL
129,149140,70,SCT + RL
130,199230,70,SCT + RL
131,119180,70,SCT + RL
132,107970,70,SCT + RL
133,149130,70,SCT + RL
134,119060,70,SCT + RL
135,219060,70,SCT + RL
136,149130,70,SCT + RL
137,159190,70,SCT + RL
138,208070,70,SCT + RL
139,159180,70,SCT + RL
140,59110,80,SCT + RL
141,109130,80,SCT + RL
142,209130,80,SCT + RL
143,108120,80,SCT + RL
144,159200,80,SCT + RL
