,mean reward,Fail Probability,method
0,-112920,10,Supervisory+RL
1,-162860,10,Supervisory+RL
2,-161840,10,Supervisory+RL
3,-161850,10,Supervisory+RL
4,-72920,10,Supervisory+RL
5,-120820,10,Supervisory+RL
6,35790,10,Supervisory+RL
7,-200810,10,Supervisory+RL
8,-76020,10,Supervisory+RL
9,-201830,10,Supervisory+RL
10,-163890,10,Supervisory+RL
11,-103000,10,Supervisory+RL
12,-161850,10,Supervisory+RL
13,-125950,10,Supervisory+RL
14,57010,10,Supervisory+RL
15,-201830,10,Supervisory+RL
16,-108130,10,Supervisory+RL
17,-161840,10,Supervisory+RL
18,-35000,10,Supervisory+RL
19,-202870,10,Supervisory+RL
20,-104020,20,Supervisory+RL
21,-12010,20,Supervisory+RL
22,-114030,20,Supervisory+RL
23,-11980,20,Supervisory+RL
24,-3120,20,Supervisory+RL
25,66960,20,Supervisory+RL
26,-79220,20,Supervisory+RL
27,-5130,20,Supervisory+RL
28,-210940,20,Supervisory+RL
29,-104020,20,Supervisory+RL
30,-112920,20,Supervisory+RL
31,-13170,20,Supervisory+RL
32,24880,20,Supervisory+RL
33,-113010,20,Supervisory+RL
34,-75070,20,Supervisory+RL
35,-100950,20,Supervisory+RL
36,36990,20,Supervisory+RL
37,-120250,20,Supervisory+RL
38,-105040,20,Supervisory+RL
39,29010,20,Supervisory+RL
40,-160800,30,Supervisory+RL
41,-200810,30,Supervisory+RL
42,-164930,30,Supervisory+RL
43,-165960,30,Supervisory+RL
44,-73960,30,Supervisory+RL
45,-152920,30,Supervisory+RL
46,-205950,30,Supervisory+RL
47,-128020,30,Supervisory+RL
48,-163890,30,Supervisory+RL
49,-204930,30,Supervisory+RL
50,-163900,30,Supervisory+RL
51,-200810,30,Supervisory+RL
52,-121800,30,Supervisory+RL
53,-204940,30,Supervisory+RL
54,-201840,30,Supervisory+RL
55,-151900,30,Supervisory+RL
56,-84030,30,Supervisory+RL
57,-161850,30,Supervisory+RL
58,-166980,30,Supervisory+RL
59,-166990,30,Supervisory+RL
60,-213950,40,Supervisory+RL
61,-201840,40,Supervisory+RL
62,-161850,40,Supervisory+RL
63,-144260,40,Supervisory+RL
64,-123860,40,Supervisory+RL
65,-211100,40,Supervisory+RL
66,-160800,40,Supervisory+RL
67,-122860,40,Supervisory+RL
68,-111890,40,Supervisory+RL
69,-111900,40,Supervisory+RL
70,-200810,40,Supervisory+RL
71,-200820,40,Supervisory+RL
72,-161830,40,Supervisory+RL
73,-126980,40,Supervisory+RL
74,-200820,40,Supervisory+RL
75,-125950,40,Supervisory+RL
76,-123890,40,Supervisory+RL
77,-200820,40,Supervisory+RL
78,-204930,40,Supervisory+RL
79,-200810,40,Supervisory+RL
80,-112010,50,Supervisory+RL
81,-24040,50,Supervisory+RL
82,-63110,50,Supervisory+RL
83,-107110,50,Supervisory+RL
84,-24130,50,Supervisory+RL
85,-64010,50,Supervisory+RL
86,-114090,50,Supervisory+RL
87,-76130,50,Supervisory+RL
88,-113030,50,Supervisory+RL
89,-121970,50,Supervisory+RL
90,-73080,50,Supervisory+RL
91,-124050,50,Supervisory+RL
92,-230980,50,Supervisory+RL
93,-70990,50,Supervisory+RL
94,-187120,50,Supervisory+RL
95,-161940,50,Supervisory+RL
96,-77230,50,Supervisory+RL
97,-194080,50,Supervisory+RL
98,-170980,50,Supervisory+RL
99,-75100,50,Supervisory+RL
100,-103040,60,Supervisory+RL
101,-111970,60,Supervisory+RL
102,-173090,60,Supervisory+RL
103,-162970,60,Supervisory+RL
104,53880,60,Supervisory+RL
105,-171000,60,Supervisory+RL
106,-133020,60,Supervisory+RL
107,-141290,60,Supervisory+RL
108,-181060,60,Supervisory+RL
109,-78270,60,Supervisory+RL
110,-113060,60,Supervisory+RL
111,-136130,60,Supervisory+RL
112,-192030,60,Supervisory+RL
113,-84020,60,Supervisory+RL
114,-185050,60,Supervisory+RL
115,-122980,60,Supervisory+RL
116,-21960,60,Supervisory+RL
117,-91900,60,Supervisory+RL
118,-236180,60,Supervisory+RL
119,-165040,60,Supervisory+RL
120,-116130,70,Supervisory+RL
121,-177180,70,Supervisory+RL
122,-116110,70,Supervisory+RL
123,-119220,70,Supervisory+RL
124,-120920,70,Supervisory+RL
125,-184030,70,Supervisory+RL
126,-61970,70,Supervisory+RL
127,-88240,70,Supervisory+RL
128,-198200,70,Supervisory+RL
129,-31000,70,Supervisory+RL
130,-180260,70,Supervisory+RL
131,-235170,70,Supervisory+RL
132,-233030,70,Supervisory+RL
133,-162980,70,Supervisory+RL
134,-114090,70,Supervisory+RL
135,-161960,70,Supervisory+RL
136,-31000,70,Supervisory+RL
137,-231920,70,Supervisory+RL
138,-130990,70,Supervisory+RL
139,-103010,70,Supervisory+RL
140,-235180,80,Supervisory+RL
141,-172010,80,Supervisory+RL
142,-224080,80,Supervisory+RL
143,-211360,80,Supervisory+RL
144,-190990,80,Supervisory+RL
145,-36150,80,Supervisory+RL
146,-242280,80,Supervisory+RL
147,-170860,80,Supervisory+RL
148,-104020,80,Supervisory+RL
149,-41890,80,Supervisory+RL
150,-182000,80,Supervisory+RL
151,-115040,80,Supervisory+RL
152,-113040,80,Supervisory+RL
153,-83040,80,Supervisory+RL
154,-186190,80,Supervisory+RL
155,-114010,80,Supervisory+RL
156,-128250,80,Supervisory+RL
157,-57160,80,Supervisory+RL
158,-185230,80,Supervisory+RL
159,-140900,80,Supervisory+RL
160,-232040,90,Supervisory+RL
161,-122980,90,Supervisory+RL
162,-196150,90,Supervisory+RL
163,-131340,90,Supervisory+RL
164,-233050,90,Supervisory+RL
165,-178200,90,Supervisory+RL
166,-237160,90,Supervisory+RL
167,-117100,90,Supervisory+RL
168,-62320,90,Supervisory+RL
169,-99190,90,Supervisory+RL
170,-199240,90,Supervisory+RL
171,-184010,90,Supervisory+RL
172,-103130,90,Supervisory+RL
173,-246170,90,Supervisory+RL
174,-203340,90,Supervisory+RL
175,-163100,90,Supervisory+RL
176,-190980,90,Supervisory+RL
177,-129160,90,Supervisory+RL
178,-131980,90,Supervisory+RL
179,-114310,90,Supervisory+RL
180,-11930,10,Supervisory
181,-103990,10,Supervisory
182,-107100,10,Supervisory
183,-103980,10,Supervisory
184,-66080,10,Supervisory
185,-112910,10,Supervisory
186,-104040,10,Supervisory
187,-14000,10,Supervisory
188,-112020,10,Supervisory
189,-105030,10,Supervisory
190,-113970,10,Supervisory
191,-53980,10,Supervisory
192,-53000,10,Supervisory
193,-960,10,Supervisory
194,-11910,10,Supervisory
195,-17080,10,Supervisory
196,-103970,10,Supervisory
197,-101850,10,Supervisory
198,-11930,10,Supervisory
199,-77050,10,Supervisory
200,-77180,20,Supervisory
201,-54080,20,Supervisory
202,-73060,20,Supervisory
203,-12980,20,Supervisory
204,-60900,20,Supervisory
205,-55080,20,Supervisory
