,mean reward,Fail Probability,method
0,297670,10,Supervisory+RL
1,298700,10,Supervisory+RL
2,298700,10,Supervisory+RL
3,296640,10,Supervisory+RL
4,298700,10,Supervisory+RL
5,298700,10,Supervisory+RL
6,298700,10,Supervisory+RL
7,298700,10,Supervisory+RL
8,298700,10,Supervisory+RL
9,297670,10,Supervisory+RL
10,298700,10,Supervisory+RL
11,297670,10,Supervisory+RL
12,298700,10,Supervisory+RL
13,298700,10,Supervisory+RL
14,297670,10,Supervisory+RL
15,296640,10,Supervisory+RL
16,297670,10,Supervisory+RL
17,297670,10,Supervisory+RL
18,298700,10,Supervisory+RL
19,298700,10,Supervisory+RL
20,297670,20,Supervisory+RL
21,293550,20,Supervisory+RL
22,296640,20,Supervisory+RL
23,296640,20,Supervisory+RL
24,297670,20,Supervisory+RL
25,298700,20,Supervisory+RL
26,297670,20,Supervisory+RL
27,296640,20,Supervisory+RL
28,297670,20,Supervisory+RL
29,298700,20,Supervisory+RL
30,297670,20,Supervisory+RL
31,295610,20,Supervisory+RL
32,297670,20,Supervisory+RL
33,297670,20,Supervisory+RL
34,298700,20,Supervisory+RL
35,296640,20,Supervisory+RL
36,297670,20,Supervisory+RL
37,297670,20,Supervisory+RL
38,296640,20,Supervisory+RL
39,298700,20,Supervisory+RL
40,295610,30,Supervisory+RL
41,296640,30,Supervisory+RL
42,293550,30,Supervisory+RL
43,291490,30,Supervisory+RL
44,291490,30,Supervisory+RL
45,296640,30,Supervisory+RL
46,294580,30,Supervisory+RL
47,293550,30,Supervisory+RL
48,294580,30,Supervisory+RL
49,297670,30,Supervisory+RL
50,294580,30,Supervisory+RL
51,289430,30,Supervisory+RL
52,294580,30,Supervisory+RL
53,294580,30,Supervisory+RL
54,295610,30,Supervisory+RL
55,298700,30,Supervisory+RL
56,295610,30,Supervisory+RL
57,294580,30,Supervisory+RL
58,292520,30,Supervisory+RL
59,296640,30,Supervisory+RL
60,293550,40,Supervisory+RL
61,289430,40,Supervisory+RL
62,294580,40,Supervisory+RL
63,290460,40,Supervisory+RL
64,293550,40,Supervisory+RL
65,296640,40,Supervisory+RL
66,289430,40,Supervisory+RL
67,295610,40,Supervisory+RL
68,293550,40,Supervisory+RL
69,293550,40,Supervisory+RL
70,290460,40,Supervisory+RL
71,294580,40,Supervisory+RL
72,289430,40,Supervisory+RL
73,295610,40,Supervisory+RL
74,294580,40,Supervisory+RL
75,291490,40,Supervisory+RL
76,291490,40,Supervisory+RL
77,292520,40,Supervisory+RL
78,294580,40,Supervisory+RL
79,288400,40,Supervisory+RL
80,273980,50,Supervisory+RL
81,281190,50,Supervisory+RL
82,288400,50,Supervisory+RL
83,288400,50,Supervisory+RL
84,292520,50,Supervisory+RL
85,281190,50,Supervisory+RL
86,290460,50,Supervisory+RL
87,291490,50,Supervisory+RL
88,293550,50,Supervisory+RL
89,285310,50,Supervisory+RL
90,284280,50,Supervisory+RL
91,282220,50,Supervisory+RL
92,287370,50,Supervisory+RL
93,291490,50,Supervisory+RL
94,286340,50,Supervisory+RL
95,290460,50,Supervisory+RL
96,290460,50,Supervisory+RL
97,281190,50,Supervisory+RL
98,295610,50,Supervisory+RL
99,288400,50,Supervisory+RL
100,282220,60,Supervisory+RL
101,281190,60,Supervisory+RL
102,285310,60,Supervisory+RL
103,276040,60,Supervisory+RL
104,283250,60,Supervisory+RL
105,291490,60,Supervisory+RL
106,284280,60,Supervisory+RL
107,283250,60,Supervisory+RL
108,281190,60,Supervisory+RL
109,280160,60,Supervisory+RL
110,275010,60,Supervisory+RL
111,283250,60,Supervisory+RL
112,289430,60,Supervisory+RL
113,276040,60,Supervisory+RL
114,260590,60,Supervisory+RL
115,279130,60,Supervisory+RL
116,281190,60,Supervisory+RL
117,272950,60,Supervisory+RL
118,277070,60,Supervisory+RL
119,288400,60,Supervisory+RL
120,271920,70,Supervisory+RL
121,284280,70,Supervisory+RL
122,285310,70,Supervisory+RL
123,259560,70,Supervisory+RL
124,276040,70,Supervisory+RL
125,259560,70,Supervisory+RL
126,268830,70,Supervisory+RL
127,275010,70,Supervisory+RL
128,267800,70,Supervisory+RL
129,253380,70,Supervisory+RL
130,266770,70,Supervisory+RL
131,248230,70,Supervisory+RL
132,278100,70,Supervisory+RL
133,269860,70,Supervisory+RL
134,230720,70,Supervisory+RL
135,249260,70,Supervisory+RL
136,225570,70,Supervisory+RL
137,280160,70,Supervisory+RL
138,255440,70,Supervisory+RL
139,258530,70,Supervisory+RL
140,239990,80,Supervisory+RL
141,203940,80,Supervisory+RL
142,234840,80,Supervisory+RL
143,230720,80,Supervisory+RL
144,245140,80,Supervisory+RL
145,265740,80,Supervisory+RL
146,239990,80,Supervisory+RL
147,239990,80,Supervisory+RL
148,200850,80,Supervisory+RL
149,244110,80,Supervisory+RL
150,224540,80,Supervisory+RL
151,203940,80,Supervisory+RL
152,190550,80,Supervisory+RL
153,265740,80,Supervisory+RL
154,236900,80,Supervisory+RL
155,246170,80,Supervisory+RL
156,233810,80,Supervisory+RL
157,250290,80,Supervisory+RL
158,237930,80,Supervisory+RL
159,245140,80,Supervisory+RL
160,153470,90,Supervisory+RL
161,116390,90,Supervisory+RL
162,64890,90,Supervisory+RL
163,154500,90,Supervisory+RL
164,80340,90,Supervisory+RL
165,51500,90,Supervisory+RL
166,220420,90,Supervisory+RL
167,127720,90,Supervisory+RL
168,95790,90,Supervisory+RL
169,151410,90,Supervisory+RL
170,140080,90,Supervisory+RL
171,64890,90,Supervisory+RL
172,200850,90,Supervisory+RL
173,129780,90,Supervisory+RL
174,193640,90,Supervisory+RL
175,150380,90,Supervisory+RL
176,121540,90,Supervisory+RL
177,132870,90,Supervisory+RL
178,98880,90,Supervisory+RL
179,152440,90,Supervisory+RL
180,115850,10,Supervisory
181,124880,10,Supervisory
182,79730,10,Supervisory
183,46940,10,Supervisory
184,90700,10,Supervisory
185,95850,10,Supervisory
186,91730,10,Supervisory
187,89670,10,Supervisory
188,20880,10,Supervisory
189,72880,10,Supervisory
190,-7120,10,Supervisory
191,85910,10,Supervisory
192,83730,10,Supervisory
193,-68150,10,Supervisory
194,-13970,10,Supervisory
195,195730,10,Supervisory
196,247730,10,Supervisory
197,-6090,10,Supervisory
198,34820,10,Supervisory
199,-55000,10,Supervisory
200,36640,20,Supervisory
201,-65060,20,Supervisory
202,-19240,20,Supervisory
203,-25180,20,Supervisory
204,136760,20,Supervisory
205,22820,20,Supervisory
206,-6090,20,Supervisory
207,-3000,20,Supervisory
208,37000,20,Supervisory
209,135850,20,Supervisory
210,36640,20,Supervisory
211,-12030,20,Supervisory
212,-7120,20,Supervisory
213,43850,20,Supervisory
214,81790,20,Supervisory
215,27970,20,Supervisory
216,-63240,20,Supervisory
217,-69180,20,Supervisory
218,-19120,20,Supervisory
219,-4030,20,Supervisory
220,-7120,30,Supervisory
221,23730,30,Supervisory
222,25790,30,Supervisory
223,112880,30,Supervisory
224,-65060,30,Supervisory
225,-26090,30,Supervisory
226,-113180,30,Supervisory
227,79730,30,Supervisory
228,-133970,30,Supervisory
229,138820,30,Supervisory
230,-33850,30,Supervisory
231,29670,30,Supervisory
232,27730,30,Supervisory
233,-24150,30,Supervisory
234,25790,30,Supervisory
235,32760,30,Supervisory
236,46940,30,Supervisory
237,-60150,30,Supervisory
238,-81300,30,Supervisory
239,-6090,30,Supervisory
240,81790,40,Supervisory
241,124760,40,Supervisory
242,28640,40,Supervisory
243,-4030,40,Supervisory
244,35850,40,Supervisory
245,-76030,40,Supervisory
246,-99240,40,Supervisory
247,-5060,40,Supervisory
248,-86330,40,Supervisory
249,144760,40,Supervisory
250,-68150,40,Supervisory
251,19730,40,Supervisory
252,71730,40,Supervisory
253,-82210,40,Supervisory
254,-172940,40,Supervisory
255,-56030,40,Supervisory
256,33790,40,Supervisory
257,-19120,40,Supervisory
258,-66090,40,Supervisory
259,31850,40,Supervisory
260,-173420,50,Supervisory
261,-25060,50,Supervisory
262,-80270,50,Supervisory
263,17910,50,Supervisory
264,-16150,50,Supervisory
265,-57060,50,Supervisory
266,82700,50,Supervisory
267,124880,50,Supervisory
268,-116940,50,Supervisory
269,-138090,50,Supervisory
270,26820,50,Supervisory
271,-81180,50,Supervisory
272,-33180,50,Supervisory
273,29670,50,Supervisory
274,60760,50,Supervisory
275,-16030,50,Supervisory
276,-88150,50,Supervisory
277,-130090,50,Supervisory
278,-63000,50,Supervisory
279,-124940,50,Supervisory
280,-138090,60,Supervisory
281,-65060,60,Supervisory
282,23850,60,Supervisory
283,-32150,60,Supervisory
284,-112940,60,Supervisory
285,-30330,60,Supervisory
286,-83000,60,Supervisory
287,-137180,60,Supervisory
288,59850,60,Supervisory
289,-152270,60,Supervisory
290,46940,60,Supervisory
291,-67240,60,Supervisory
292,2820,60,Supervisory
293,18700,60,Supervisory
294,8760,60,Supervisory
295,-73060,60,Supervisory
296,-40270,60,Supervisory
297,-68150,60,Supervisory
298,-193060,60,Supervisory
299,-107240,60,Supervisory
300,-113180,70,Supervisory
301,-37300,70,Supervisory
302,-90330,70,Supervisory
303,-204270,70,Supervisory
304,-159360,70,Supervisory
305,-170330,70,Supervisory
306,-23360,70,Supervisory
307,-112150,70,Supervisory
308,-285300,70,Supervisory
309,-53300,70,Supervisory
310,-146330,70,Supervisory
311,-135120,70,Supervisory
312,-81300,70,Supervisory
313,-50330,70,Supervisory
314,-278330,70,Supervisory
315,-256150,70,Supervisory
316,-231910,70,Supervisory
317,-66450,70,Supervisory
318,21670,70,Supervisory
319,-43240,70,Supervisory
320,-124030,80,Supervisory
321,-220270,80,Supervisory
322,-257180,80,Supervisory
323,-250210,80,Supervisory
324,-111360,80,Supervisory
325,-172390,80,Supervisory
326,-97180,80,Supervisory
327,-150210,80,Supervisory
328,-26210,80,Supervisory
329,-59480,80,Supervisory
330,-255120,80,Supervisory
331,-294570,80,Supervisory
332,-272390,80,Supervisory
333,-200940,80,Supervisory
334,-289420,80,Supervisory
335,-254090,80,Supervisory
336,-219240,80,Supervisory
337,-267240,80,Supervisory
338,-106210,80,Supervisory
339,-171360,80,Supervisory
340,-254090,90,Supervisory
341,-268270,90,Supervisory
342,-198210,90,Supervisory
343,-227240,90,Supervisory
344,-63910,90,Supervisory
345,-177970,90,Supervisory
346,-205300,90,Supervisory
347,-253060,90,Supervisory
348,-166450,90,Supervisory
349,-215120,90,Supervisory
350,-158330,90,Supervisory
351,-207240,90,Supervisory
352,-143240,90,Supervisory
353,-259240,90,Supervisory
354,-253300,90,Supervisory
355,-185060,90,Supervisory
356,-199240,90,Supervisory
357,-284510,90,Supervisory
358,-220270,90,Supervisory
359,-118210,90,Supervisory
