,mean reward,Fail Probability,method
0,219180,10,Supervisory+RL
1,169190,10,Supervisory+RL
2,159100,10,Supervisory+RL
3,209170,10,Supervisory+RL
4,119060,10,Supervisory+RL
5,219030,10,Supervisory+RL
6,229100,10,Supervisory+RL
7,208140,10,Supervisory+RL
8,228010,10,Supervisory+RL
9,177080,10,Supervisory+RL
10,219100,10,Supervisory+RL
11,208080,10,Supervisory+RL
12,179100,10,Supervisory+RL
13,219100,10,Supervisory+RL
14,209180,10,Supervisory+RL
15,228050,10,Supervisory+RL
16,218150,10,Supervisory+RL
17,178110,10,Supervisory+RL
18,226940,10,Supervisory+RL
19,226960,10,Supervisory+RL
20,219120,10,Supervisory+RL
21,219120,10,Supervisory+RL
22,126030,10,Supervisory+RL
23,219140,10,Supervisory+RL
24,218070,10,Supervisory+RL
25,237980,10,Supervisory+RL
26,149170,10,Supervisory+RL
27,219100,10,Supervisory+RL
28,179120,10,Supervisory+RL
29,199000,10,Supervisory+RL
30,229020,10,Supervisory+RL
31,136940,10,Supervisory+RL
32,209120,10,Supervisory+RL
33,209170,10,Supervisory+RL
34,179100,10,Supervisory+RL
35,168000,10,Supervisory+RL
36,179170,10,Supervisory+RL
37,209200,10,Supervisory+RL
38,209160,10,Supervisory+RL
39,219140,10,Supervisory+RL
40,169130,10,Supervisory+RL
41,178150,10,Supervisory+RL
42,159100,10,Supervisory+RL
43,209210,10,Supervisory+RL
44,118090,10,Supervisory+RL
45,219170,10,Supervisory+RL
46,148190,10,Supervisory+RL
47,127090,10,Supervisory+RL
48,198190,10,Supervisory+RL
49,239010,10,Supervisory+RL
50,228010,20,Supervisory+RL
51,237960,20,Supervisory+RL
52,128130,20,Supervisory+RL
53,168140,20,Supervisory+RL
54,166950,20,Supervisory+RL
55,229020,20,Supervisory+RL
56,168090,20,Supervisory+RL
57,208130,20,Supervisory+RL
58,229090,20,Supervisory+RL
59,158170,20,Supervisory+RL
60,209160,20,Supervisory+RL
61,178070,20,Supervisory+RL
62,219130,20,Supervisory+RL
63,209120,20,Supervisory+RL
64,228010,20,Supervisory+RL
65,109100,20,Supervisory+RL
66,218050,20,Supervisory+RL
67,217040,20,Supervisory+RL
68,148130,20,Supervisory+RL
69,158080,20,Supervisory+RL
70,228070,20,Supervisory+RL
71,228990,20,Supervisory+RL
72,189060,20,Supervisory+RL
73,199000,20,Supervisory+RL
74,169070,20,Supervisory+RL
75,199040,20,Supervisory+RL
76,229010,20,Supervisory+RL
77,156980,20,Supervisory+RL
78,169070,20,Supervisory+RL
79,228030,20,Supervisory+RL
80,207020,20,Supervisory+RL
81,189000,20,Supervisory+RL
82,229040,20,Supervisory+RL
83,218070,20,Supervisory+RL
84,197950,20,Supervisory+RL
85,234880,20,Supervisory+RL
86,228010,20,Supervisory+RL
87,229080,20,Supervisory+RL
88,109190,20,Supervisory+RL
89,229040,20,Supervisory+RL
90,225950,20,Supervisory+RL
91,219040,20,Supervisory+RL
92,165950,20,Supervisory+RL
93,219100,20,Supervisory+RL
94,228020,20,Supervisory+RL
95,219100,20,Supervisory+RL
96,208180,20,Supervisory+RL
97,179070,20,Supervisory+RL
98,229040,20,Supervisory+RL
99,199150,20,Supervisory+RL
100,208130,30,Supervisory+RL
101,208110,30,Supervisory+RL
102,209110,30,Supervisory+RL
103,156130,30,Supervisory+RL
104,158070,30,Supervisory+RL
105,219110,30,Supervisory+RL
106,198190,30,Supervisory+RL
107,217040,30,Supervisory+RL
108,215000,30,Supervisory+RL
109,197130,30,Supervisory+RL
110,219160,30,Supervisory+RL
111,199190,30,Supervisory+RL
112,159180,30,Supervisory+RL
113,108110,30,Supervisory+RL
114,197120,30,Supervisory+RL
115,209160,30,Supervisory+RL
116,208130,30,Supervisory+RL
117,219180,30,Supervisory+RL
118,199220,30,Supervisory+RL
119,108120,30,Supervisory+RL
120,148060,30,Supervisory+RL
121,158150,30,Supervisory+RL
122,209240,30,Supervisory+RL
123,146990,30,Supervisory+RL
124,209240,30,Supervisory+RL
125,214980,30,Supervisory+RL
126,199140,30,Supervisory+RL
127,198190,30,Supervisory+RL
128,199200,30,Supervisory+RL
129,197100,30,Supervisory+RL
130,159190,30,Supervisory+RL
131,199220,30,Supervisory+RL
132,199220,30,Supervisory+RL
133,158190,30,Supervisory+RL
134,198190,30,Supervisory+RL
135,158140,30,Supervisory+RL
136,208100,30,Supervisory+RL
137,159180,30,Supervisory+RL
138,199220,30,Supervisory+RL
139,147140,30,Supervisory+RL
140,158190,30,Supervisory+RL
141,197150,30,Supervisory+RL
142,199170,30,Supervisory+RL
143,168090,30,Supervisory+RL
144,199220,30,Supervisory+RL
145,169100,30,Supervisory+RL
146,166070,30,Supervisory+RL
147,148170,30,Supervisory+RL
148,119220,30,Supervisory+RL
149,198190,30,Supervisory+RL
150,129160,40,Supervisory+RL
151,118010,40,Supervisory+RL
152,209170,40,Supervisory+RL
