,mean reward,Machine Cost,method
0,198150,10,Supervisory+RL
1,236880,10,Supervisory+RL
2,228980,10,Supervisory+RL
3,199170,10,Supervisory+RL
4,157120,10,Supervisory+RL
5,208130,10,Supervisory+RL
6,198200,10,Supervisory+RL
7,199240,10,Supervisory+RL
8,197160,10,Supervisory+RL
9,166070,10,Supervisory+RL
10,208130,10,Supervisory+RL
11,179160,10,Supervisory+RL
12,198190,10,Supervisory+RL
13,158150,10,Supervisory+RL
14,166070,10,Supervisory+RL
15,167070,10,Supervisory+RL
16,209120,10,Supervisory+RL
17,198190,10,Supervisory+RL
18,118150,10,Supervisory+RL
19,179020,10,Supervisory+RL
20,198210,10,Supervisory+RL
21,218090,10,Supervisory+RL
22,219100,10,Supervisory+RL
23,148150,10,Supervisory+RL
24,206020,10,Supervisory+RL
25,219150,10,Supervisory+RL
26,209170,10,Supervisory+RL
27,109120,10,Supervisory+RL
28,209180,10,Supervisory+RL
29,209160,10,Supervisory+RL
30,219170,10,Supervisory+RL
31,197160,10,Supervisory+RL
32,158180,10,Supervisory+RL
33,159220,10,Supervisory+RL
34,198210,10,Supervisory+RL
35,219170,10,Supervisory+RL
36,159180,10,Supervisory+RL
37,197160,10,Supervisory+RL
38,209180,10,Supervisory+RL
39,196140,10,Supervisory+RL
40,118190,10,Supervisory+RL
41,208130,10,Supervisory+RL
42,214980,10,Supervisory+RL
43,197160,10,Supervisory+RL
44,228010,10,Supervisory+RL
45,229090,10,Supervisory+RL
46,219090,10,Supervisory+RL
47,158150,10,Supervisory+RL
48,159220,10,Supervisory+RL
49,198190,10,Supervisory+RL
50,221970,50,Supervisory+RL
51,174680,50,Supervisory+RL
52,228580,50,Supervisory+RL
53,224530,50,Supervisory+RL
54,205930,50,Supervisory+RL
55,206280,50,Supervisory+RL
56,73880,50,Supervisory+RL
57,175940,50,Supervisory+RL
58,164930,50,Supervisory+RL
59,215140,50,Supervisory+RL
60,193400,50,Supervisory+RL
61,174990,50,Supervisory+RL
62,173680,50,Supervisory+RL
63,135980,50,Supervisory+RL
64,205040,50,Supervisory+RL
65,214890,50,Supervisory+RL
66,154730,50,Supervisory+RL
67,214830,50,Supervisory+RL
68,226000,50,Supervisory+RL
69,93400,50,Supervisory+RL
70,206120,50,Supervisory+RL
71,196540,50,Supervisory+RL
72,74320,50,Supervisory+RL
73,182020,50,Supervisory+RL
74,213730,50,Supervisory+RL
75,204980,50,Supervisory+RL
76,114630,50,Supervisory+RL
77,183340,50,Supervisory+RL
78,213680,50,Supervisory+RL
79,214880,50,Supervisory+RL
80,123380,50,Supervisory+RL
81,216290,50,Supervisory+RL
82,206340,50,Supervisory+RL
83,214530,50,Supervisory+RL
84,205880,50,Supervisory+RL
85,155980,50,Supervisory+RL
86,205090,50,Supervisory+RL
87,124580,50,Supervisory+RL
88,216040,50,Supervisory+RL
89,205140,50,Supervisory+RL
90,206030,50,Supervisory+RL
91,225690,50,Supervisory+RL
92,202830,50,Supervisory+RL
93,136040,50,Supervisory+RL
94,215090,50,Supervisory+RL
95,152370,50,Supervisory+RL
96,123120,50,Supervisory+RL
97,215940,50,Supervisory+RL
98,215870,50,Supervisory+RL
99,124920,50,Supervisory+RL
100,161890,100,Supervisory+RL
101,191480,100,Supervisory+RL
102,202790,100,Supervisory+RL
103,201380,100,Supervisory+RL
104,172480,100,Supervisory+RL
105,161690,100,Supervisory+RL
106,202680,100,Supervisory+RL
107,172590,100,Supervisory+RL
108,202680,100,Supervisory+RL
109,177180,100,Supervisory+RL
110,172180,100,Supervisory+RL
111,139680,100,Supervisory+RL
112,62790,100,Supervisory+RL
113,192880,100,Supervisory+RL
114,202790,100,Supervisory+RL
115,112080,100,Supervisory+RL
116,221590,100,Supervisory+RL
117,202790,100,Supervisory+RL
118,212080,100,Supervisory+RL
119,212380,100,Supervisory+RL
120,202280,100,Supervisory+RL
121,201380,100,Supervisory+RL
122,129480,100,Supervisory+RL
123,211990,100,Supervisory+RL
124,205790,100,Supervisory+RL
125,129870,100,Supervisory+RL
126,202790,100,Supervisory+RL
127,201380,100,Supervisory+RL
128,220180,100,Supervisory+RL
129,218880,100,Supervisory+RL
130,210280,100,Supervisory+RL
131,212700,100,Supervisory+RL
132,177580,100,Supervisory+RL
133,162370,100,Supervisory+RL
134,146680,100,Supervisory+RL
135,201890,100,Supervisory+RL
136,202180,100,Supervisory+RL
137,201290,100,Supervisory+RL
138,167880,100,Supervisory+RL
139,200780,100,Supervisory+RL
140,221990,100,Supervisory+RL
141,210780,100,Supervisory+RL
142,215590,100,Supervisory+RL
143,210490,100,Supervisory+RL
144,205290,100,Supervisory+RL
145,210780,100,Supervisory+RL
146,210990,100,Supervisory+RL
147,209990,100,Supervisory+RL
148,200080,100,Supervisory+RL
149,170890,100,Supervisory+RL
150,159840,150,Supervisory+RL
151,189980,150,Supervisory+RL
152,189220,150,Supervisory+RL
153,188690,150,Supervisory+RL
154,118770,150,Supervisory+RL
155,197630,150,Supervisory+RL
156,189070,150,Supervisory+RL
