,mean reward,Fail Probability,method
0,159180,10,SCT + RL
1,159200,10,SCT + RL
2,159180,10,SCT + RL
3,119180,10,SCT + RL
4,159190,10,SCT + RL
5,79200,10,SCT + RL
6,199200,10,SCT + RL
7,199180,10,SCT + RL
8,159230,10,SCT + RL
9,119230,10,SCT + RL
10,159230,10,SCT + RL
11,199190,10,SCT + RL
12,199190,10,SCT + RL
13,199200,10,SCT + RL
14,119230,10,SCT + RL
15,199190,10,SCT + RL
16,199170,10,SCT + RL
17,79200,10,SCT + RL
18,159190,10,SCT + RL
19,199200,10,SCT + RL
20,199230,20,SCT + RL
21,199170,20,SCT + RL
22,199190,20,SCT + RL
23,199180,20,SCT + RL
24,119200,20,SCT + RL
25,199230,20,SCT + RL
26,199230,20,SCT + RL
27,199230,20,SCT + RL
28,199230,20,SCT + RL
29,159190,20,SCT + RL
30,119200,20,SCT + RL
31,199190,20,SCT + RL
32,199200,20,SCT + RL
33,199180,20,SCT + RL
34,199200,20,SCT + RL
35,119230,20,SCT + RL
36,199190,20,SCT + RL
37,119190,20,SCT + RL
38,199180,20,SCT + RL
39,199230,20,SCT + RL
40,199190,30,SCT + RL
41,199230,30,SCT + RL
42,159190,30,SCT + RL
43,199200,30,SCT + RL
44,159190,30,SCT + RL
45,198150,30,SCT + RL
46,199200,30,SCT + RL
47,199180,30,SCT + RL
48,199230,30,SCT + RL
49,198150,30,SCT + RL
50,199180,30,SCT + RL
51,159180,30,SCT + RL
52,198150,30,SCT + RL
53,159230,30,SCT + RL
54,199200,30,SCT + RL
55,159170,30,SCT + RL
56,159180,30,SCT + RL
57,199190,30,SCT + RL
58,199170,30,SCT + RL
59,159180,30,SCT + RL
60,199230,40,SCT + RL
61,159180,40,SCT + RL
62,199180,40,SCT + RL
63,199230,40,SCT + RL
64,159190,40,SCT + RL
65,199230,40,SCT + RL
66,159200,40,SCT + RL
67,159180,40,SCT + RL
68,199200,40,SCT + RL
69,199190,40,SCT + RL
70,159200,40,SCT + RL
71,159180,40,SCT + RL
72,119190,40,SCT + RL
