,mean reward,Fail Probability,method
0,-160770,10,Supervisory+RL
1,-160770,10,Supervisory+RL
2,-120820,10,Supervisory+RL
3,-160820,10,Supervisory+RL
4,-200820,10,Supervisory+RL
5,-161830,10,Supervisory+RL
6,-160830,10,Supervisory+RL
7,-80810,10,Supervisory+RL
8,-200820,10,Supervisory+RL
9,-200770,10,Supervisory+RL
10,-160770,10,Supervisory+RL
11,-160800,10,Supervisory+RL
12,-80810,10,Supervisory+RL
13,-160820,10,Supervisory+RL
14,-121840,10,Supervisory+RL
15,-160770,10,Supervisory+RL
16,-200800,10,Supervisory+RL
17,-122880,10,Supervisory+RL
18,-160820,10,Supervisory+RL
19,-121850,10,Supervisory+RL
20,-121800,20,Supervisory+RL
21,-200770,20,Supervisory+RL
22,-122860,20,Supervisory+RL
23,-160820,20,Supervisory+RL
24,-200800,20,Supervisory+RL
25,-80770,20,Supervisory+RL
26,-160820,20,Supervisory+RL
27,-200770,20,Supervisory+RL
28,-160770,20,Supervisory+RL
29,-160800,20,Supervisory+RL
30,-160770,20,Supervisory+RL
31,-160770,20,Supervisory+RL
32,-160800,20,Supervisory+RL
33,-160820,20,Supervisory+RL
34,-160800,20,Supervisory+RL
35,-120810,20,Supervisory+RL
36,-200800,20,Supervisory+RL
37,-160800,20,Supervisory+RL
38,-161800,20,Supervisory+RL
39,-200820,20,Supervisory+RL
40,-120770,30,Supervisory+RL
41,-160820,30,Supervisory+RL
42,-200800,30,Supervisory+RL
43,-200810,30,Supervisory+RL
44,-160820,30,Supervisory+RL
45,-200800,30,Supervisory+RL
46,-201840,30,Supervisory+RL
47,-120770,30,Supervisory+RL
48,-200770,30,Supervisory+RL
49,-200810,30,Supervisory+RL
50,-201850,30,Supervisory+RL
51,-120820,30,Supervisory+RL
52,-200810,30,Supervisory+RL
53,-160770,30,Supervisory+RL
54,-162880,30,Supervisory+RL
55,-80810,30,Supervisory+RL
56,-200820,30,Supervisory+RL
57,-160800,30,Supervisory+RL
58,-200770,30,Supervisory+RL
59,-160800,30,Supervisory+RL
60,-200810,40,Supervisory+RL
61,-120770,40,Supervisory+RL
62,-120770,40,Supervisory+RL
63,-200820,40,Supervisory+RL
64,-200810,40,Supervisory+RL
65,-80810,40,Supervisory+RL
66,-120800,40,Supervisory+RL
67,-120810,40,Supervisory+RL
68,-201860,40,Supervisory+RL
69,-120770,40,Supervisory+RL
70,-200820,40,Supervisory+RL
71,-200820,40,Supervisory+RL
72,-161850,40,Supervisory+RL
73,-80820,40,Supervisory+RL
74,-200810,40,Supervisory+RL
75,-162860,40,Supervisory+RL
76,-200810,40,Supervisory+RL
77,-160820,40,Supervisory+RL
