,Number of occurrences,Machine Cost,event
0,34,1000,bad_A
1,30,1000,bad_A
2,27,1000,bad_A
3,27,1000,bad_A
4,30,1000,bad_A
5,27,1000,bad_A
6,20,1000,bad_A
7,23,1000,bad_A
8,26,1000,bad_A
9,30,1000,bad_B
10,28,1000,bad_B
11,32,1000,bad_B
12,32,1000,bad_B
13,22,1000,bad_B
14,22,1000,bad_B
15,25,1000,bad_B
16,23,1000,bad_B
17,25,1000,bad_B
18,105,1000,good_A
19,103,1000,good_A
20,100,1000,good_A
21,96,1000,good_A
22,95,1000,good_A
23,97,1000,good_A
24,100,1000,good_A
25,107,1000,good_A
26,110,1000,good_A
27,331,1000,good_B
28,339,1000,good_B
29,341,1000,good_B
30,345,1000,good_B
31,353,1000,good_B
32,354,1000,good_B
33,355,1000,good_B
34,347,1000,good_B
35,339,1000,good_B
36,15,1000,redo_A
37,13,1000,redo_A
38,15,1000,redo_A
39,10,1000,redo_A
40,17,1000,redo_A
41,10,1000,redo_A
42,18,1000,redo_A
43,22,1000,redo_A
44,13,1000,redo_A
45,7,1000,redo_B
46,13,1000,redo_B
47,8,1000,redo_B
48,19,1000,redo_B
49,7,1000,redo_B
50,7,1000,redo_B
51,9,1000,redo_B
52,13,1000,redo_B
53,13,1000,redo_B
