,Number of occurrences,Fail Probability,event
0,0,10,bad_A
1,7,20,bad_A
2,1,30,bad_A
3,2,40,bad_A
4,24,50,bad_A
5,32,60,bad_A
6,33,70,bad_A
7,40,80,bad_A
8,51,90,bad_A
9,163,10,bad_B
10,130,20,bad_B
11,179,30,bad_B
12,179,40,bad_B
13,131,50,bad_B
14,127,60,bad_B
15,132,70,bad_B
16,125,80,bad_B
17,117,90,bad_B
18,14,10,good_A
19,50,20,good_A
20,4,30,good_A
21,2,40,good_A
22,33,50,good_A
23,21,60,good_A
24,22,70,good_A
25,16,80,good_A
26,9,90,good_A
27,23,10,good_B
28,13,20,good_B
29,16,30,good_B
30,17,40,good_B
31,12,50,good_B
32,20,60,good_B
33,13,70,good_B
34,19,80,good_B
35,23,90,good_B
36,0,10,redo_A
37,5,20,redo_A
38,1,30,redo_A
39,0,40,redo_A
40,13,50,redo_A
41,12,60,redo_A
42,17,70,redo_A
43,41,80,redo_A
44,62,90,redo_A
45,45,10,redo_B
46,51,20,redo_B
47,58,30,redo_B
48,54,40,redo_B
49,41,50,redo_B
50,47,60,redo_B
51,49,70,redo_B
52,31,80,redo_B
53,50,90,redo_B
