,Number of occurrences,Fail Probability,event
0,1,10,bad_A
1,9,20,bad_A
2,7,30,bad_A
3,9,40,bad_A
4,14,50,bad_A
5,30,60,bad_A
6,35,70,bad_A
7,39,80,bad_A
8,50,90,bad_A
9,143,10,bad_B
10,132,20,bad_B
11,145,30,bad_B
12,133,40,bad_B
13,143,50,bad_B
14,126,60,bad_B
15,136,70,bad_B
16,125,80,bad_B
17,133,90,bad_B
18,46,10,good_A
19,42,20,good_A
20,35,30,good_A
21,42,40,good_A
22,27,50,good_A
23,25,60,good_A
24,17,70,good_A
25,12,80,good_A
26,3,90,good_A
27,10,10,good_B
28,17,20,good_B
29,13,30,good_B
30,16,40,good_B
31,16,50,good_B
32,19,60,good_B
33,12,70,good_B
34,24,80,good_B
35,14,90,good_B
36,4,10,redo_A
37,3,20,redo_A
38,4,30,redo_A
39,4,40,redo_A
40,9,50,redo_A
41,20,60,redo_A
42,16,70,redo_A
43,11,80,redo_A
44,15,90,redo_A
45,53,10,redo_B
46,47,20,redo_B
47,34,30,redo_B
48,42,40,redo_B
49,31,50,redo_B
50,46,60,redo_B
51,44,70,redo_B
52,40,80,redo_B
53,55,90,redo_B
