,Number of occurrences,Fail Probability,event
0,4,10,bad_A
1,9,20,bad_A
2,17,30,bad_A
3,16,40,bad_A
4,27,50,bad_A
5,39,60,bad_A
6,74,70,bad_A
7,94,80,bad_A
8,83,90,bad_A
9,84,10,bad_B
10,100,20,bad_B
11,95,30,bad_B
12,99,40,bad_B
13,98,50,bad_B
14,90,60,bad_B
15,76,70,bad_B
16,78,80,bad_B
17,96,90,bad_B
18,101,10,good_A
19,85,20,good_A
20,78,30,good_A
21,75,40,good_A
22,61,50,good_A
23,55,60,good_A
24,40,70,good_A
25,19,80,good_A
26,11,90,good_A
27,11,10,good_B
28,6,20,good_B
29,10,30,good_B
30,10,40,good_B
31,14,50,good_B
32,16,60,good_B
33,10,70,good_B
34,9,80,good_B
35,10,90,good_B
36,6,10,redo_A
37,7,20,redo_A
38,13,30,redo_A
39,16,40,redo_A
40,36,50,redo_A
41,41,60,redo_A
42,66,70,redo_A
43,75,80,redo_A
44,59,90,redo_A
45,94,10,redo_B
46,104,20,redo_B
47,101,30,redo_B
48,113,40,redo_B
49,82,50,redo_B
50,75,60,redo_B
51,85,70,redo_B
52,69,80,redo_B
53,95,90,redo_B
