,Number of occurrences,Fail Probability,event
0,3,10,bad_A
1,10,20,bad_A
2,12,30,bad_A
3,19,40,bad_A
4,18,50,bad_A
5,32,60,bad_A
6,48,70,bad_A
7,62,80,bad_A
8,68,90,bad_A
9,83,10,bad_B
10,75,20,bad_B
11,111,30,bad_B
12,104,40,bad_B
13,102,50,bad_B
14,89,60,bad_B
15,90,70,bad_B
16,116,80,bad_B
17,97,90,bad_B
18,239,10,good_A
19,239,20,good_A
20,101,30,good_A
21,117,40,good_A
22,125,50,good_A
23,57,60,good_A
24,103,70,good_A
25,55,80,good_A
26,20,90,good_A
27,175,10,good_B
28,176,20,good_B
29,276,30,good_B
30,260,40,good_B
31,255,50,good_B
32,322,60,good_B
33,259,70,good_B
34,267,80,good_B
35,315,90,good_B
36,19,10,redo_A
37,40,20,redo_A
38,32,30,redo_A
39,71,40,redo_A
40,108,50,redo_A
41,55,60,redo_A
42,171,70,redo_A
43,126,80,redo_A
44,151,90,redo_A
45,118,10,redo_B
46,124,20,redo_B
47,155,30,redo_B
48,177,40,redo_B
49,156,50,redo_B
50,177,60,redo_B
51,182,70,redo_B
52,180,80,redo_B
53,202,90,redo_B
