,Number of occurrences,Fail Probability,event
0,5,10,bad_A
1,6,20,bad_A
2,7,30,bad_A
3,20,40,bad_A
4,34,50,bad_A
5,54,60,bad_A
6,65,70,bad_A
7,94,80,bad_A
8,95,90,bad_A
9,4,10,bad_B
10,6,20,bad_B
11,2,30,bad_B
12,1,40,bad_B
13,4,50,bad_B
14,5,60,bad_B
15,1,70,bad_B
16,4,80,bad_B
17,4,90,bad_B
18,99,10,good_A
19,90,20,good_A
20,85,30,good_A
21,80,40,good_A
22,64,50,good_A
23,45,60,good_A
24,44,70,good_A
25,22,80,good_A
26,9,90,good_A
27,92,10,good_B
28,98,20,good_B
29,106,30,good_B
30,99,40,good_B
31,98,50,good_B
32,96,60,good_B
33,90,70,good_B
34,80,80,good_B
35,92,90,good_B
36,0,10,redo_A
37,0,20,redo_A
38,0,30,redo_A
39,0,40,redo_A
40,0,50,redo_A
41,0,60,redo_A
42,0,70,redo_A
43,0,80,redo_A
44,0,90,redo_A
45,0,10,redo_B
46,0,20,redo_B
47,0,30,redo_B
48,0,40,redo_B
49,0,50,redo_B
50,0,60,redo_B
51,0,70,redo_B
52,0,80,redo_B
53,0,90,redo_B
