,Number of occurrences,Machine Cost,event
0,3,10,bad_A
1,10,20,bad_A
2,5,30,bad_A
3,3,40,bad_A
4,6,50,bad_A
5,12,60,bad_A
6,4,70,bad_A
7,10,80,bad_A
8,2,90,bad_A
9,16,10,bad_B
10,24,20,bad_B
11,16,30,bad_B
12,20,40,bad_B
13,21,50,bad_B
14,38,60,bad_B
15,13,70,bad_B
16,20,80,bad_B
17,22,90,bad_B
18,44,10,good_A
19,90,20,good_A
20,80,30,good_A
21,19,40,good_A
22,85,50,good_A
23,28,60,good_A
24,42,70,good_A
25,89,80,good_A
26,43,90,good_A
27,437,10,good_B
28,376,20,good_B
29,399,30,good_B
30,458,40,good_B
31,388,50,good_B
32,422,60,good_B
33,441,70,good_B
34,381,80,good_B
35,433,90,good_B
36,12,10,redo_A
37,37,20,redo_A
38,23,30,redo_A
39,4,40,redo_A
40,28,50,redo_A
41,3,60,redo_A
42,14,70,redo_A
43,27,80,redo_A
44,5,90,redo_A
45,36,10,redo_B
46,18,20,redo_B
47,31,30,redo_B
48,37,40,redo_B
49,23,50,redo_B
50,7,60,redo_B
51,37,70,redo_B
52,26,80,redo_B
53,29,90,redo_B
