,Number of occurrences,Machine Cost,event
0,32,10,bad_A
1,32,20,bad_A
2,24,30,bad_A
3,28,40,bad_A
4,33,50,bad_A
5,31,60,bad_A
6,31,70,bad_A
7,31,80,bad_A
8,18,90,bad_A
9,31,10,bad_B
10,34,20,bad_B
11,24,30,bad_B
12,28,40,bad_B
13,29,50,bad_B
14,33,60,bad_B
15,29,70,bad_B
16,28,80,bad_B
17,34,90,bad_B
18,95,10,good_A
19,94,20,good_A
20,107,30,good_A
21,100,40,good_A
22,103,50,good_A
23,103,60,good_A
24,88,70,good_A
25,94,80,good_A
26,107,90,good_A
27,342,10,good_B
28,340,20,good_B
29,345,30,good_B
30,344,40,good_B
31,335,50,good_B
32,333,60,good_B
33,352,70,good_B
34,347,80,good_B
35,341,90,good_B
36,16,10,redo_A
37,12,20,redo_A
38,17,30,redo_A
39,10,40,redo_A
40,13,50,redo_A
41,15,60,redo_A
42,12,70,redo_A
43,16,80,redo_A
44,17,90,redo_A
45,7,10,redo_B
46,9,20,redo_B
47,8,30,redo_B
48,9,40,redo_B
49,9,50,redo_B
50,13,60,redo_B
51,8,70,redo_B
52,9,80,redo_B
53,2,90,redo_B
