,Number of occurrences,Fail Probability,event
0,0,10,bad_A
1,1,20,bad_A
2,5,30,bad_A
3,16,40,bad_A
4,19,50,bad_A
5,28,60,bad_A
6,22,70,bad_A
7,43,80,bad_A
8,45,90,bad_A
9,137,10,bad_B
10,140,20,bad_B
11,148,30,bad_B
12,142,40,bad_B
13,134,50,bad_B
14,135,60,bad_B
15,140,70,bad_B
16,137,80,bad_B
17,130,90,bad_B
18,52,10,good_A
19,42,20,good_A
20,34,30,good_A
21,29,40,good_A
22,33,50,good_A
23,19,60,good_A
24,20,70,good_A
25,7,80,good_A
26,5,90,good_A
27,11,10,good_B
28,17,20,good_B
29,13,30,good_B
30,13,40,good_B
31,14,50,good_B
32,18,60,good_B
33,18,70,good_B
34,13,80,good_B
35,20,90,good_B
