,Number of occurrences,Fail Probability,event
0,0,10,bad_A
1,0,20,bad_A
2,0,30,bad_A
3,0,40,bad_A
4,0,50,bad_A
5,0,60,bad_A
6,0,70,bad_A
7,0,80,bad_A
8,0,90,bad_A
9,86,10,bad_B
10,82,20,bad_B
11,86,30,bad_B
12,88,40,bad_B
13,86,50,bad_B
14,98,60,bad_B
15,93,70,bad_B
16,89,80,bad_B
17,91,90,bad_B
18,0,10,good_A
19,0,20,good_A
20,0,30,good_A
21,0,40,good_A
22,0,50,good_A
23,0,60,good_A
24,0,70,good_A
25,0,80,good_A
26,0,90,good_A
27,114,10,good_B
28,118,20,good_B
29,114,30,good_B
30,112,40,good_B
31,114,50,good_B
32,102,60,good_B
33,107,70,good_B
34,111,80,good_B
35,109,90,good_B
