,Number of occurrences,Fail Probability,event
0,0,10,bad_A
1,0,20,bad_A
2,0,30,bad_A
3,0,40,bad_A
4,7,50,bad_A
5,0,60,bad_A
6,0,70,bad_A
7,31,80,bad_A
8,0,90,bad_A
9,16,10,bad_B
10,7,20,bad_B
11,12,30,bad_B
12,14,40,bad_B
13,13,50,bad_B
14,12,60,bad_B
15,7,70,bad_B
16,8,80,bad_B
17,9,90,bad_B
18,0,10,good_A
19,0,20,good_A
20,0,30,good_A
21,0,40,good_A
22,10,50,good_A
23,0,60,good_A
24,0,70,good_A
25,8,80,good_A
26,0,90,good_A
27,184,10,good_B
28,193,20,good_B
29,188,30,good_B
30,186,40,good_B
31,170,50,good_B
32,188,60,good_B
33,193,70,good_B
34,153,80,good_B
35,191,90,good_B
