,Number of occurrences,Fail Probability,event
0,3,10,bad_A
1,2,20,bad_A
2,7,30,bad_A
3,14,40,bad_A
4,17,50,bad_A
5,26,60,bad_A
6,31,70,bad_A
7,37,80,bad_A
8,43,90,bad_A
9,6,10,bad_B
10,12,20,bad_B
11,8,30,bad_B
12,6,40,bad_B
13,13,50,bad_B
14,14,60,bad_B
15,12,70,bad_B
16,11,80,bad_B
17,6,90,bad_B
18,51,10,good_A
19,46,20,good_A
20,40,30,good_A
21,35,40,good_A
22,34,50,good_A
23,19,60,good_A
24,18,70,good_A
25,12,80,good_A
26,4,90,good_A
27,140,10,good_B
28,140,20,good_B
29,145,30,good_B
30,145,40,good_B
31,136,50,good_B
32,141,60,good_B
33,139,70,good_B
34,140,80,good_B
35,147,90,good_B
