,mean reward,Machine Cost,method
0,179180,10,Supervisory+RL
1,188080,10,Supervisory+RL
2,217100,10,Supervisory+RL
3,187030,10,Supervisory+RL
4,229090,10,Supervisory+RL
5,227040,10,Supervisory+RL
6,209140,10,Supervisory+RL
7,178070,10,Supervisory+RL
8,217100,10,Supervisory+RL
9,176990,10,Supervisory+RL
10,204960,10,Supervisory+RL
11,218070,10,Supervisory+RL
12,187970,10,Supervisory+RL
13,178090,10,Supervisory+RL
14,179100,10,Supervisory+RL
15,197160,10,Supervisory+RL
16,226920,10,Supervisory+RL
17,219180,10,Supervisory+RL
18,169180,10,Supervisory+RL
19,179070,10,Supervisory+RL
20,209180,10,Supervisory+RL
21,137020,10,Supervisory+RL
22,208160,10,Supervisory+RL
23,119290,10,Supervisory+RL
24,228070,10,Supervisory+RL
25,217060,10,Supervisory+RL
26,217020,10,Supervisory+RL
27,218090,10,Supervisory+RL
28,179140,10,Supervisory+RL
29,188000,10,Supervisory+RL
30,217060,10,Supervisory+RL
31,226010,10,Supervisory+RL
32,218070,10,Supervisory+RL
33,218110,10,Supervisory+RL
34,187020,10,Supervisory+RL
35,218110,10,Supervisory+RL
36,218070,10,Supervisory+RL
37,219170,10,Supervisory+RL
38,169160,10,Supervisory+RL
39,229080,10,Supervisory+RL
40,207100,10,Supervisory+RL
41,179160,10,Supervisory+RL
42,157040,10,Supervisory+RL
43,219090,10,Supervisory+RL
44,219080,10,Supervisory+RL
45,218070,10,Supervisory+RL
46,209190,10,Supervisory+RL
47,179120,10,Supervisory+RL
48,137040,10,Supervisory+RL
49,128140,10,Supervisory+RL
50,214150,50,Supervisory+RL
51,165850,50,Supervisory+RL
52,171750,50,Supervisory+RL
53,204550,50,Supervisory+RL
54,204450,50,Supervisory+RL
55,196200,50,Supervisory+RL
56,165000,50,Supervisory+RL
57,204650,50,Supervisory+RL
58,174450,50,Supervisory+RL
59,205450,50,Supervisory+RL
60,223250,50,Supervisory+RL
61,164650,50,Supervisory+RL
62,170700,50,Supervisory+RL
63,122900,50,Supervisory+RL
64,215700,50,Supervisory+RL
65,124650,50,Supervisory+RL
66,155900,50,Supervisory+RL
67,215900,50,Supervisory+RL
68,225550,50,Supervisory+RL
69,196200,50,Supervisory+RL
70,213250,50,Supervisory+RL
71,132400,50,Supervisory+RL
72,205800,50,Supervisory+RL
73,153250,50,Supervisory+RL
74,164650,50,Supervisory+RL
75,214150,50,Supervisory+RL
76,173950,50,Supervisory+RL
77,204450,50,Supervisory+RL
78,204650,50,Supervisory+RL
79,202350,50,Supervisory+RL
80,154150,50,Supervisory+RL
81,181000,50,Supervisory+RL
82,215500,50,Supervisory+RL
83,113800,50,Supervisory+RL
84,205800,50,Supervisory+RL
85,215850,50,Supervisory+RL
86,215500,50,Supervisory+RL
87,174650,50,Supervisory+RL
88,175600,50,Supervisory+RL
89,164650,50,Supervisory+RL
90,174700,50,Supervisory+RL
91,205850,50,Supervisory+RL
92,213200,50,Supervisory+RL
93,205850,50,Supervisory+RL
94,124650,50,Supervisory+RL
95,211950,50,Supervisory+RL
96,165650,50,Supervisory+RL
97,174350,50,Supervisory+RL
98,103500,50,Supervisory+RL
99,122750,50,Supervisory+RL
100,201200,100,Supervisory+RL
101,201700,100,Supervisory+RL
102,139700,100,Supervisory+RL
103,189600,100,Supervisory+RL
104,211600,100,Supervisory+RL
105,201700,100,Supervisory+RL
106,201200,100,Supervisory+RL
107,198800,100,Supervisory+RL
108,161400,100,Supervisory+RL
109,200000,100,Supervisory+RL
110,201800,100,Supervisory+RL
111,191800,100,Supervisory+RL
112,159800,100,Supervisory+RL
113,201600,100,Supervisory+RL
114,201300,100,Supervisory+RL
115,151900,100,Supervisory+RL
116,201600,100,Supervisory+RL
117,202400,100,Supervisory+RL
118,201600,100,Supervisory+RL
119,162100,100,Supervisory+RL
120,112200,100,Supervisory+RL
121,149700,100,Supervisory+RL
122,191900,100,Supervisory+RL
123,152200,100,Supervisory+RL
124,208500,100,Supervisory+RL
125,192200,100,Supervisory+RL
126,89000,100,Supervisory+RL
127,110900,100,Supervisory+RL
128,190500,100,Supervisory+RL
129,199600,100,Supervisory+RL
130,112200,100,Supervisory+RL
131,200300,100,Supervisory+RL
132,201900,100,Supervisory+RL
133,208400,100,Supervisory+RL
134,160000,100,Supervisory+RL
135,162400,100,Supervisory+RL
136,151100,100,Supervisory+RL
137,191300,100,Supervisory+RL
138,170700,100,Supervisory+RL
139,202200,100,Supervisory+RL
140,201500,100,Supervisory+RL
141,200100,100,Supervisory+RL
142,201200,100,Supervisory+RL
143,161200,100,Supervisory+RL
144,192400,100,Supervisory+RL
145,200500,100,Supervisory+RL
146,151000,100,Supervisory+RL
147,199800,100,Supervisory+RL
148,169500,100,Supervisory+RL
149,214200,100,Supervisory+RL
150,222650,150,Supervisory+RL
151,212850,150,Supervisory+RL
152,149800,150,Supervisory+RL
153,174300,150,Supervisory+RL
154,153750,150,Supervisory+RL
155,214300,150,Supervisory+RL
156,214700,150,Supervisory+RL
157,214250,150,Supervisory+RL
158,205800,150,Supervisory+RL
159,214150,150,Supervisory+RL
160,174750,150,Supervisory+RL
161,181500,150,Supervisory+RL
162,155050,150,Supervisory+RL
163,207100,150,Supervisory+RL
164,223250,150,Supervisory+RL
165,219750,150,Supervisory+RL
166,206200,150,Supervisory+RL
167,215600,150,Supervisory+RL
168,146900,150,Supervisory+RL
169,115300,150,Supervisory+RL
170,221550,150,Supervisory+RL
171,212700,150,Supervisory+RL
172,224850,150,Supervisory+RL
173,145050,150,Supervisory+RL
174,201550,150,Supervisory+RL
175,215750,150,Supervisory+RL
176,174150,150,Supervisory+RL
177,143600,150,Supervisory+RL
178,211550,150,Supervisory+RL
179,174150,150,Supervisory+RL
180,224000,150,Supervisory+RL
181,211400,150,Supervisory+RL
182,215900,150,Supervisory+RL
183,215600,150,Supervisory+RL
184,216050,150,Supervisory+RL
185,174750,150,Supervisory+RL
186,208350,150,Supervisory+RL
187,216000,150,Supervisory+RL
188,223850,150,Supervisory+RL
189,173300,150,Supervisory+RL
190,160350,150,Supervisory+RL
191,214750,150,Supervisory+RL
192,217450,150,Supervisory+RL
193,212400,150,Supervisory+RL
194,112150,150,Supervisory+RL
195,213550,150,Supervisory+RL
196,212700,150,Supervisory+RL
197,177600,150,Supervisory+RL
198,146600,150,Supervisory+RL
199,223250,150,Supervisory+RL
200,150000,200,Supervisory+RL
201,150000,200,Supervisory+RL
202,132600,200,Supervisory+RL
203,190800,200,Supervisory+RL
204,193200,200,Supervisory+RL
205,130800,200,Supervisory+RL
206,118800,200,Supervisory+RL
207,183000,200,Supervisory+RL
208,202000,200,Supervisory+RL
209,191800,200,Supervisory+RL
210,184800,200,Supervisory+RL
211,191600,200,Supervisory+RL
212,183600,200,Supervisory+RL
213,190600,200,Supervisory+RL
214,191600,200,Supervisory+RL
215,193800,200,Supervisory+RL
216,150600,200,Supervisory+RL
217,191600,200,Supervisory+RL
218,190600,200,Supervisory+RL
219,105200,200,Supervisory+RL
220,137200,200,Supervisory+RL
221,179800,200,Supervisory+RL
222,183800,200,Supervisory+RL
223,145000,200,Supervisory+RL
224,200800,200,Supervisory+RL
225,184400,200,Supervisory+RL
226,150800,200,Supervisory+RL
227,198600,200,Supervisory+RL
228,150000,200,Supervisory+RL
229,194400,200,Supervisory+RL
230,194000,200,Supervisory+RL
231,141800,200,Supervisory+RL
232,195600,200,Supervisory+RL
233,189000,200,Supervisory+RL
234,190000,200,Supervisory+RL
235,193200,200,Supervisory+RL
236,161200,200,Supervisory+RL
237,162000,200,Supervisory+RL
238,193200,200,Supervisory+RL
239,202000,200,Supervisory+RL
240,203400,200,Supervisory+RL
241,197800,200,Supervisory+RL
242,189000,200,Supervisory+RL
243,193600,200,Supervisory+RL
244,193800,200,Supervisory+RL
245,209200,200,Supervisory+RL
246,181200,200,Supervisory+RL
247,150800,200,Supervisory+RL
248,193400,200,Supervisory+RL
249,202000,200,Supervisory+RL
250,176600,300,Supervisory+RL
251,133500,300,Supervisory+RL
252,132800,300,Supervisory+RL
253,142900,300,Supervisory+RL
254,134700,300,Supervisory+RL
255,172900,300,Supervisory+RL
256,189900,300,Supervisory+RL
257,135700,300,Supervisory+RL
258,83200,300,Supervisory+RL
259,183000,300,Supervisory+RL
260,122900,300,Supervisory+RL
261,194800,300,Supervisory+RL
262,175400,300,Supervisory+RL
263,193600,300,Supervisory+RL
264,182900,300,Supervisory+RL
265,96600,300,Supervisory+RL
266,175100,300,Supervisory+RL
267,105400,300,Supervisory+RL
268,104800,300,Supervisory+RL
269,179100,300,Supervisory+RL
270,176600,300,Supervisory+RL
271,182900,300,Supervisory+RL
272,181400,300,Supervisory+RL
273,105700,300,Supervisory+RL
274,143600,300,Supervisory+RL
275,175300,300,Supervisory+RL
276,136600,300,Supervisory+RL
277,144800,300,Supervisory+RL
278,134800,300,Supervisory+RL
279,135000,300,Supervisory+RL
280,181000,300,Supervisory+RL
281,181700,300,Supervisory+RL
282,173500,300,Supervisory+RL
283,186000,300,Supervisory+RL
284,104800,300,Supervisory+RL
285,141400,300,Supervisory+RL
286,136600,300,Supervisory+RL
287,182900,300,Supervisory+RL
288,182900,300,Supervisory+RL
289,176600,300,Supervisory+RL
290,182300,300,Supervisory+RL
291,143500,300,Supervisory+RL
292,87600,300,Supervisory+RL
293,136600,300,Supervisory+RL
294,144800,300,Supervisory+RL
295,62900,300,Supervisory+RL
296,142700,300,Supervisory+RL
297,185100,300,Supervisory+RL
298,175100,300,Supervisory+RL
299,176600,300,Supervisory+RL
300,189400,400,Supervisory+RL
301,144800,400,Supervisory+RL
302,198200,400,Supervisory+RL
303,84200,400,Supervisory+RL
304,129600,400,Supervisory+RL
305,182600,400,Supervisory+RL
306,72600,400,Supervisory+RL
307,177200,400,Supervisory+RL
308,97200,400,Supervisory+RL
309,140600,400,Supervisory+RL
310,128200,400,Supervisory+RL
311,194000,400,Supervisory+RL
312,185200,400,Supervisory+RL
313,40200,400,Supervisory+RL
314,183600,400,Supervisory+RL
315,140000,400,Supervisory+RL
316,187200,400,Supervisory+RL
317,134800,400,Supervisory+RL
318,144000,400,Supervisory+RL
319,194800,400,Supervisory+RL
320,170000,400,Supervisory+RL
321,138000,400,Supervisory+RL
322,45000,400,Supervisory+RL
323,124600,400,Supervisory+RL
324,198800,400,Supervisory+RL
325,196800,400,Supervisory+RL
326,177200,400,Supervisory+RL
327,139800,400,Supervisory+RL
328,130000,400,Supervisory+RL
329,129400,400,Supervisory+RL
330,184000,400,Supervisory+RL
331,136400,400,Supervisory+RL
332,185000,400,Supervisory+RL
333,184600,400,Supervisory+RL
334,200200,400,Supervisory+RL
335,149400,400,Supervisory+RL
336,174200,400,Supervisory+RL
337,153200,400,Supervisory+RL
338,176400,400,Supervisory+RL
339,196400,400,Supervisory+RL
340,191600,400,Supervisory+RL
341,82800,400,Supervisory+RL
342,192800,400,Supervisory+RL
343,187200,400,Supervisory+RL
344,196000,400,Supervisory+RL
345,145200,400,Supervisory+RL
346,176800,400,Supervisory+RL
347,137200,400,Supervisory+RL
348,146400,400,Supervisory+RL
349,184200,400,Supervisory+RL
350,108500,500,Supervisory+RL
351,175000,500,Supervisory+RL
352,165500,500,Supervisory+RL
353,109500,500,Supervisory+RL
354,133000,500,Supervisory+RL
355,131500,500,Supervisory+RL
356,64000,500,Supervisory+RL
357,160500,500,Supervisory+RL
358,170500,500,Supervisory+RL
359,127000,500,Supervisory+RL
360,141000,500,Supervisory+RL
361,85500,500,Supervisory+RL
