,Number of Occurrences,Machine Cost,Event,Method
0,25,10,redo_A,Supervisory+RL
1,17,10,redo_A,Supervisory
2,27,50,redo_A,Supervisory+RL
3,10,50,redo_A,Supervisory
4,11,100,redo_A,Supervisory+RL
5,7,100,redo_A,Supervisory
6,68,150,redo_A,Supervisory+RL
7,9,150,redo_A,Supervisory
8,22,200,redo_A,Supervisory+RL
9,17,200,redo_A,Supervisory
10,7,300,redo_A,Supervisory+RL
11,12,300,redo_A,Supervisory
12,35,400,redo_A,Supervisory+RL
13,12,400,redo_A,Supervisory
14,32,500,redo_A,Supervisory+RL
15,12,500,redo_A,Supervisory
16,6,1000,redo_A,Supervisory+RL
17,8,1000,redo_A,Supervisory
18,27,10,redo_B,Supervisory+RL
19,6,10,redo_B,Supervisory
20,27,50,redo_B,Supervisory+RL
21,12,50,redo_B,Supervisory
22,20,100,redo_B,Supervisory+RL
23,4,100,redo_B,Supervisory
24,23,150,redo_B,Supervisory+RL
25,9,150,redo_B,Supervisory
26,25,200,redo_B,Supervisory+RL
27,9,200,redo_B,Supervisory
28,27,300,redo_B,Supervisory+RL
29,10,300,redo_B,Supervisory
30,19,400,redo_B,Supervisory+RL
31,6,400,redo_B,Supervisory
32,31,500,redo_B,Supervisory+RL
33,6,500,redo_B,Supervisory
34,30,1000,redo_B,Supervisory+RL
35,16,1000,redo_B,Supervisory
36,25,10,redo_A,Supervisory+RL
37,17,10,redo_A,Supervisory
38,27,50,redo_A,Supervisory+RL
39,10,50,redo_A,Supervisory
40,11,100,redo_A,Supervisory+RL
41,7,100,redo_A,Supervisory
42,68,150,redo_A,Supervisory+RL
43,9,150,redo_A,Supervisory
44,22,200,redo_A,Supervisory+RL
45,17,200,redo_A,Supervisory
46,7,300,redo_A,Supervisory+RL
47,12,300,redo_A,Supervisory
48,35,400,redo_A,Supervisory+RL
49,12,400,redo_A,Supervisory
50,32,500,redo_A,Supervisory+RL
51,12,500,redo_A,Supervisory
52,6,1000,redo_A,Supervisory+RL
53,8,1000,redo_A,Supervisory
54,27,10,redo_B,Supervisory+RL
55,6,10,redo_B,Supervisory
56,27,50,redo_B,Supervisory+RL
57,12,50,redo_B,Supervisory
58,20,100,redo_B,Supervisory+RL
59,4,100,redo_B,Supervisory
60,23,150,redo_B,Supervisory+RL
61,9,150,redo_B,Supervisory
62,25,200,redo_B,Supervisory+RL
63,9,200,redo_B,Supervisory
64,27,300,redo_B,Supervisory+RL
65,10,300,redo_B,Supervisory
66,19,400,redo_B,Supervisory+RL
67,6,400,redo_B,Supervisory
68,31,500,redo_B,Supervisory+RL
69,6,500,redo_B,Supervisory
70,30,1000,redo_B,Supervisory+RL
71,16,1000,redo_B,Supervisory
72,25,10,redo_A,Supervisory+RL
73,17,10,redo_A,Supervisory
74,27,50,redo_A,Supervisory+RL
75,10,50,redo_A,Supervisory
76,11,100,redo_A,Supervisory+RL
77,7,100,redo_A,Supervisory
78,68,150,redo_A,Supervisory+RL
79,9,150,redo_A,Supervisory
80,22,200,redo_A,Supervisory+RL
81,17,200,redo_A,Supervisory
82,7,300,redo_A,Supervisory+RL
83,12,300,redo_A,Supervisory
84,35,400,redo_A,Supervisory+RL
85,12,400,redo_A,Supervisory
86,32,500,redo_A,Supervisory+RL
87,12,500,redo_A,Supervisory
88,6,1000,redo_A,Supervisory+RL
89,8,1000,redo_A,Supervisory
90,27,10,redo_B,Supervisory+RL
91,6,10,redo_B,Supervisory
92,27,50,redo_B,Supervisory+RL
93,12,50,redo_B,Supervisory
94,20,100,redo_B,Supervisory+RL
95,4,100,redo_B,Supervisory
96,23,150,redo_B,Supervisory+RL
97,9,150,redo_B,Supervisory
98,25,200,redo_B,Supervisory+RL
99,9,200,redo_B,Supervisory
100,27,300,redo_B,Supervisory+RL
101,10,300,redo_B,Supervisory
102,19,400,redo_B,Supervisory+RL
103,6,400,redo_B,Supervisory
104,31,500,redo_B,Supervisory+RL
105,6,500,redo_B,Supervisory
106,30,1000,redo_B,Supervisory+RL
107,16,1000,redo_B,Supervisory
108,25,10,redo_A,Supervisory+RL
109,17,10,redo_A,Supervisory
110,27,50,redo_A,Supervisory+RL
111,10,50,redo_A,Supervisory
112,11,100,redo_A,Supervisory+RL
113,7,100,redo_A,Supervisory
114,68,150,redo_A,Supervisory+RL
115,9,150,redo_A,Supervisory
116,22,200,redo_A,Supervisory+RL
117,17,200,redo_A,Supervisory
118,7,300,redo_A,Supervisory+RL
119,12,300,redo_A,Supervisory
120,35,400,redo_A,Supervisory+RL
121,12,400,redo_A,Supervisory
122,32,500,redo_A,Supervisory+RL
123,12,500,redo_A,Supervisory
124,6,1000,redo_A,Supervisory+RL
125,8,1000,redo_A,Supervisory
126,27,10,redo_B,Supervisory+RL
127,6,10,redo_B,Supervisory
128,27,50,redo_B,Supervisory+RL
129,12,50,redo_B,Supervisory
130,20,100,redo_B,Supervisory+RL
131,4,100,redo_B,Supervisory
132,23,150,redo_B,Supervisory+RL
133,9,150,redo_B,Supervisory
134,25,200,redo_B,Supervisory+RL
135,9,200,redo_B,Supervisory
136,27,300,redo_B,Supervisory+RL
137,10,300,redo_B,Supervisory
138,19,400,redo_B,Supervisory+RL
139,6,400,redo_B,Supervisory
140,31,500,redo_B,Supervisory+RL
141,6,500,redo_B,Supervisory
142,30,1000,redo_B,Supervisory+RL
143,16,1000,redo_B,Supervisory
144,25,10,redo_A,Supervisory+RL
145,17,10,redo_A,Supervisory
146,27,50,redo_A,Supervisory+RL
147,10,50,redo_A,Supervisory
148,11,100,redo_A,Supervisory+RL
149,7,100,redo_A,Supervisory
150,68,150,redo_A,Supervisory+RL
151,9,150,redo_A,Supervisory
152,22,200,redo_A,Supervisory+RL
153,17,200,redo_A,Supervisory
154,7,300,redo_A,Supervisory+RL
155,12,300,redo_A,Supervisory
156,35,400,redo_A,Supervisory+RL
157,12,400,redo_A,Supervisory
158,32,500,redo_A,Supervisory+RL
159,12,500,redo_A,Supervisory
160,6,1000,redo_A,Supervisory+RL
161,8,1000,redo_A,Supervisory
162,27,10,redo_B,Supervisory+RL
163,6,10,redo_B,Supervisory
164,27,50,redo_B,Supervisory+RL
165,12,50,redo_B,Supervisory
166,20,100,redo_B,Supervisory+RL
167,4,100,redo_B,Supervisory
168,23,150,redo_B,Supervisory+RL
169,9,150,redo_B,Supervisory
170,25,200,redo_B,Supervisory+RL
171,9,200,redo_B,Supervisory
172,27,300,redo_B,Supervisory+RL
173,10,300,redo_B,Supervisory
174,19,400,redo_B,Supervisory+RL
175,6,400,redo_B,Supervisory
