,Number of occurrences,Rework Cost,event
0,30,1000,bad_A
1,34,2000,bad_A
2,29,3000,bad_A
3,25,4000,bad_A
4,27,5000,bad_A
5,34,6000,bad_A
6,37,7000,bad_A
7,23,8000,bad_A
8,27,9000,bad_A
9,31,1000,bad_B
10,27,2000,bad_B
11,39,3000,bad_B
12,26,4000,bad_B
13,24,5000,bad_B
14,27,6000,bad_B
15,25,7000,bad_B
16,27,8000,bad_B
17,34,9000,bad_B
18,102,1000,good_A
19,98,2000,good_A
20,103,3000,good_A
21,99,4000,good_A
22,97,5000,good_A
23,98,6000,good_A
24,90,7000,good_A
25,102,8000,good_A
26,100,9000,good_A
27,337,1000,good_B
28,341,2000,good_B
29,329,3000,good_B
30,350,4000,good_B
31,352,5000,good_B
32,341,6000,good_B
33,348,7000,good_B
34,348,8000,good_B
35,339,9000,good_B
36,13,1000,redo_A
37,15,2000,redo_A
38,17,3000,redo_A
39,13,4000,redo_A
40,16,5000,redo_A
41,10,6000,redo_A
42,9,7000,redo_A
43,11,8000,redo_A
44,9,9000,redo_A
45,10,1000,redo_B
46,8,2000,redo_B
47,13,3000,redo_B
48,7,4000,redo_B
49,10,5000,redo_B
50,9,6000,redo_B
51,11,7000,redo_B
52,12,8000,redo_B
53,13,9000,redo_B
