,mean reward,Rework Cost,method
0,178150,1000,Supervisory+RL
1,199230,1000,Supervisory+RL
2,147980,1000,Supervisory+RL
3,209150,1000,Supervisory+RL
4,208120,1000,Supervisory+RL
5,147100,1000,Supervisory+RL
6,109160,1000,Supervisory+RL
7,208150,1000,Supervisory+RL
8,199160,1000,Supervisory+RL
9,198190,1000,Supervisory+RL
10,159190,1000,Supervisory+RL
11,169160,1000,Supervisory+RL
12,209140,1000,Supervisory+RL
13,199220,1000,Supervisory+RL
14,199120,1000,Supervisory+RL
15,118100,1000,Supervisory+RL
16,198190,1000,Supervisory+RL
17,209140,1000,Supervisory+RL
18,198170,1000,Supervisory+RL
19,199230,1000,Supervisory+RL
20,199200,1000,Supervisory+RL
21,209160,1000,Supervisory+RL
22,209220,1000,Supervisory+RL
23,198150,1000,Supervisory+RL
24,208110,1000,Supervisory+RL
25,158170,1000,Supervisory+RL
26,118190,1000,Supervisory+RL
27,219160,1000,Supervisory+RL
28,209160,1000,Supervisory+RL
29,209160,1000,Supervisory+RL
30,157170,1000,Supervisory+RL
31,199280,1000,Supervisory+RL
32,149160,1000,Supervisory+RL
33,109160,1000,Supervisory+RL
34,149180,1000,Supervisory+RL
35,218100,1000,Supervisory+RL
36,158190,1000,Supervisory+RL
37,157130,1000,Supervisory+RL
38,109110,1000,Supervisory+RL
39,148150,1000,Supervisory+RL
40,206020,1000,Supervisory+RL
41,199180,1000,Supervisory+RL
42,157160,1000,Supervisory+RL
43,159220,1000,Supervisory+RL
44,156020,1000,Supervisory+RL
45,199200,1000,Supervisory+RL
46,207150,1000,Supervisory+RL
47,167060,1000,Supervisory+RL
48,159210,1000,Supervisory+RL
49,159180,1000,Supervisory+RL
50,157150,2000,Supervisory+RL
51,159090,2000,Supervisory+RL
52,169170,2000,Supervisory+RL
53,169160,2000,Supervisory+RL
54,157210,2000,Supervisory+RL
55,197190,2000,Supervisory+RL
56,197190,2000,Supervisory+RL
57,157210,2000,Supervisory+RL
58,157150,2000,Supervisory+RL
59,199220,2000,Supervisory+RL
60,197190,2000,Supervisory+RL
61,159200,2000,Supervisory+RL
62,205160,2000,Supervisory+RL
63,199220,2000,Supervisory+RL
64,197200,2000,Supervisory+RL
65,199170,2000,Supervisory+RL
66,199200,2000,Supervisory+RL
67,147090,2000,Supervisory+RL
68,157190,2000,Supervisory+RL
69,209180,2000,Supervisory+RL
70,159170,2000,Supervisory+RL
71,119120,2000,Supervisory+RL
72,199200,2000,Supervisory+RL
73,199220,2000,Supervisory+RL
74,157200,2000,Supervisory+RL
75,195140,2000,Supervisory+RL
76,199240,2000,Supervisory+RL
77,155160,2000,Supervisory+RL
78,199180,2000,Supervisory+RL
79,199220,2000,Supervisory+RL
80,157190,2000,Supervisory+RL
81,199230,2000,Supervisory+RL
82,197110,2000,Supervisory+RL
83,159150,2000,Supervisory+RL
